fold,best_epoch,n_epochs_run,train_rmse,val_rmse,val_mae,val_r2
0,326,347,0.8908508118571634,1.8732883154124773,1.494933698268509,0.29707612207255285
1,297,318,0.9115005689144086,1.812449838693774,1.4486481430064808,0.5083653954257534
2,338,359,1.117257465565507,1.9950932183800727,1.5744978637472002,0.007873613092496234
3,293,314,0.9909119782575461,1.856980189855166,1.4394873101116161,0.4353009759772002
4,301,322,0.8722393616322528,1.7622683127856755,1.411556081045734,0.1984791686733539
