parameter_A,parameter_B,channels,additive_cv_rmse,joint_cv_rmse,interaction_rmse_improvement_pct,additive_cv_r2,joint_cv_r2,interaction_incremental_r2,fold_reproducibility,evidence_label,reason
MEASURE_ET_Cap2pf,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,A_high_x_high,2.2319,1.9306,13.502,0.0161,0.2543,0.2383,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2383."
MEASURE_ET_DC_RF_S11ang_10GHz,FIC_ET_lkg_5,A_high_x_high,2.1024,1.7857,15.067,0.1229,0.3612,0.2382,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2382."
THIN_ET_TF_AB_2,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,A_high_x_high+D_v3_multichannel_corroborated,2.1109,1.8105,14.231,0.1166,0.3524,0.2358,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2358."
TOPSIN_ET_lkg_C385pf,THIN_ET_lkg_100_at20V,B_high_x_special_evidence,2.1409,1.8747,12.434,0.0542,0.2893,0.235,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2350."
MEASURE_ET_lkg_Cap2,TOPSIN_ET_lkg_C450pf,B_high_x_special_evidence,2.1906,1.9356,11.641,0.0168,0.2513,0.2344,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2344."
MEASURE_ET_C300M1B_0,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,A_high_x_high,2.2061,1.9146,13.216,0.0415,0.2757,0.2342,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2342."
TOPSIN_ET_Load_Pull_Id_ini,TOPSIN_ET_Cap1pf_0,B_high_x_special_evidence,2.262,1.9838,12.299,-0.0152,0.2183,0.2335,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2335."
MEASURE_ET_lkg_CapPARCAP,THIN_ET_TF_AB_2,A_high_x_high,2.0904,1.7921,14.268,0.1286,0.3614,0.2328,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2328."
MEASURE_ET_Cap3pf_0,FIC_ET_DC_RF_Vg_max_Vd,A_high_x_high,2.2434,1.9679,12.278,0.0081,0.2407,0.2326,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2326."
MEASURE_ET_DC_SMALL_Vbgs_0p01,OHMIC_ET_lkg_5,A_high_x_high+E_spline_strong_v3_underrepresented,2.1293,1.8524,13.003,0.0873,0.3196,0.2324,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2324."
MEASURE_ET_C300pf,SIN_GATE_ET_lkg_SY07_10,B_high_x_special_evidence,2.0872,1.7748,14.969,0.1346,0.3669,0.2323,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2323."
MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,E_spline_strong_v3_underrepresented,2.0483,1.7418,14.964,0.1615,0.3934,0.232,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2320."
THIN_ET_lkg_70_at20V,THIN_ET_lkg_100_at20V,E_spline_strong_v3_underrepresented,2.1247,1.8438,13.219,0.0803,0.3122,0.2319,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2319."
MEASURE_ET_lkg_C300FB,SIN_GATE_ET_lkg_SY8_80,B_high_x_special_evidence,2.1892,1.9524,10.818,0.0081,0.2397,0.2316,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2316."
MEASURE_ET_lkg_70_at20V,MEASURE_ET_DC_RF_CF_S22_Ph_L2180,A_high_x_high,2.1563,1.8572,13.872,0.079,0.3103,0.2313,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2313."
TOPSIN_ET_lkg_5,THIN_ET_lkg_100_at20V,A_high_x_high,2.1401,1.883,12.012,0.0492,0.2798,0.2306,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2306."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,E_spline_strong_v3_underrepresented,2.1662,1.91,11.828,0.046,0.2762,0.2302,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2302."
SIN_ET_DC_PIV_Idss_QP1,MEASURE_ET_DC_SMALL_Vbin_gd,C_broadscreen_outlier_neither_high,2.1914,1.8949,13.527,0.0507,0.2808,0.2301,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2301."
THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,A_high_x_high+D_v3_multichannel_corroborated,2.1154,1.8335,13.323,0.0942,0.3241,0.2299,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2299."
TOPSIN_ET_DC_RF_Vds_max,TOPSIN_ET_DC_PIV_Ids0_QP3,A_high_x_high,2.242,1.9719,12.046,0.0038,0.2332,0.2294,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2294."
THIN_ET_TF_AB_2,MEASURE_ET_HIRS,A_high_x_high+E_spline_strong_v3_underrepresented,2.2239,1.9385,12.833,0.025,0.2535,0.2285,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2285."
FIC_ET_lkg_SY8_80,TOPSIN_ET_lkg_C450pf,A_high_x_high,2.1731,1.9302,11.179,0.0288,0.2573,0.2285,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2285."
TOPSIN_ET_C100CapUSV,THIN_ET_Rc_TF_AB_2,A_high_x_high,2.1618,1.8735,13.339,0.0758,0.3041,0.2284,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2284."
THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap1,B_high_x_special_evidence,2.1267,1.8754,11.815,0.0618,0.2901,0.2283,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2283."
MaskSetSupplyChipsCount,MEASURE_ET_DC_RF_Max_S11_Freq_L1002,A_high_x_high,2.1961,1.9162,12.747,0.0506,0.2787,0.2281,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2281."
THIN_ET_Rcat_cn_3,THIN_ET_C200,B_high_x_special_evidence,2.1473,1.8534,13.688,0.0928,0.3207,0.2279,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2279."
THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,A_high_x_high,2.0206,1.7151,15.119,0.1811,0.4088,0.2277,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2277."
THIN_ET_lkg_5,THIN_ET_lkg_C300,B_high_x_special_evidence,2.1494,1.8794,12.559,0.067,0.2946,0.2276,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2276."
MEASURE_ET_C300FB_0,TOPSIN_ET_lkg_Cap3,A_high_x_high+D_v3_multichannel_corroborated,2.124,1.8231,14.167,0.1116,0.337,0.2254,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2254."
TOPSIN_ET_lkg_CapFICM1,MEASURE_ET_Cap2pf,A_high_x_high,2.0998,1.8034,14.117,0.1273,0.3524,0.2252,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2252."
MEASURE_ET_C100C500pf,TOPSIN_ET_DC_PIV_Ids0_QP3,E_spline_strong_v3_underrepresented,2.2263,1.9458,12.602,0.023,0.2479,0.2249,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2249."
TOPSIN_ET_lkg_SY8_80,MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,E_spline_strong_v3_underrepresented,2.1865,1.9469,10.956,0.0165,0.2413,0.2248,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2248."
TOPSIN_ET_Cap2pf_0,THIN_ET_Rc_TF_AB_2,B_high_x_special_evidence,2.1854,1.9054,12.812,0.0566,0.2813,0.2247,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2247."
MEASURE_ET_lkg_C300M1B,TOPSIN_ET_DC_SMALL_Vp_1,C_broadscreen_outlier_neither_high,2.1438,1.8557,13.44,0.0872,0.3118,0.2246,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2246."
TOPSIN_ET_lkg_SY8_80,THIN_ET_lkg_100_at20V,A_high_x_high+D_v3_multichannel_corroborated,2.1497,1.9003,11.602,0.0462,0.27,0.2238,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2238."
SIN_GATE_ET_lkg_SY07_10,TOPSIN_ET_DC_SMALL_Vp_1,C_broadscreen_outlier_neither_high,2.1015,1.8175,13.514,0.12,0.3436,0.2236,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2236."
TOPSIN_ET_Gm_max,MEASURE_ET_lkg_70,A_high_x_high,2.066,1.77,14.331,0.1476,0.3711,0.2235,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2235."
THIN_ET_lkg_70_at20V,THIN_ET_TF_AB_2,E_spline_strong_v3_underrepresented,2.1034,1.8215,13.399,0.1234,0.3469,0.2235,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2235."
TOPSIN_ET_lkg_C450pf,SIN_GATE_ET_lkg_SY8_80,A_high_x_high,2.1924,1.9644,10.4,0.0046,0.228,0.2234,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2234."
MEASURE_ET_DC_Stress_Id_gm_max_after,FIC_ET_DC_RF_Vds_max,E_spline_strong_v3_underrepresented,2.1815,1.8922,13.262,0.0548,0.2781,0.2233,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2233."
TOPSIN_ET_Gm_max,MEASURE_ET_lkg_50,A_high_x_high,2.0398,1.7326,15.063,0.1671,0.3901,0.223,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2230."
MEASURE_ET_C20_0,TOPSIN_ET_Cap1pf_0,B_high_x_special_evidence,2.2061,1.9282,12.596,0.041,0.2638,0.2228,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2228."
TOPSIN_ET_Gm_max,THIN_ET_lkg_5,A_high_x_high,2.0881,1.7904,14.258,0.1282,0.3506,0.2223,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2223."
SIN_ET_lkg_SY07_10,THIN_ET_lkg_C300,B_high_x_special_evidence,2.1281,1.8688,12.183,0.0829,0.3047,0.2218,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2218."
MEASURE_ET_DC_SEC_Ids_max_ON,TOPSIN_ET_DC_RF_Vbgs_0p01,C_broadscreen_outlier_neither_high,2.1881,1.9129,12.576,0.0548,0.2766,0.2218,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2218."
THIN_ET_lkg_100_at20V,MEASURE_ET_lkg_USV_Cap,A_high_x_high,2.1608,1.9046,11.856,0.0473,0.269,0.2217,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2217."
THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_C500pf,E_spline_strong_v3_underrepresented,2.1115,1.8519,12.294,0.0849,0.3067,0.2217,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2217."
MEASURE_ET_lkg_CapPARCAP,TOPSIN_ET_lkg_SY07_10,A_high_x_high,2.1571,1.9148,11.232,0.0426,0.2641,0.2215,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2215."
