parameter_A,parameter_B,channels,additive_cv_rmse,joint_cv_rmse,interaction_rmse_improvement_pct,additive_cv_r2,joint_cv_r2,interaction_incremental_r2,fold_reproducibility,evidence_label,reason
TOPSIN_ET_C100CapFICM1,THIN_ET_DC_RF_Gm_max,A_high_x_high,2.2087,2.1102,4.463,0.0405,0.123,0.0824,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0824."
THIN_ET_DC_RF_n_gd,TOPSIN_ET_CapFICM1_0,A_high_x_high,2.2192,2.1206,4.442,0.029,0.1113,0.0824,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0824."
TOPSIN_ET_DC_SMALL_Vbgd_0p1,TOPSIN_ET_C100CapFICM1,A_high_x_high,2.178,2.0727,4.836,0.0669,0.1493,0.0824,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0824."
TOPSIN_ET_DC_RF_Vg_gm_max,TOPSIN_ET_C300pf,A_high_x_high,2.1935,2.0985,4.331,0.0511,0.1335,0.0824,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0824."
TOPSIN_ET_DC_RF_n_gs,TOPSIN_ET_sh_GA144,A_high_x_high,2.2397,2.1414,4.389,0.0055,0.0879,0.0824,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0824."
MEASURE_ET_DC_SEC_X_Bin,MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_second_FPSD3p2,B_high_x_special_evidence,2.2036,2.0999,4.708,0.0396,0.122,0.0824,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0824."
FIC_ET_Gate_res,MEASURE_ET_DC_SMALL_Vg_max_Vd,B_high_x_special_evidence,2.1762,2.0827,4.296,0.0568,0.1392,0.0824,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0824."
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos,FIC_ET_DC_PIV_Drain_Lag_1,B_high_x_special_evidence,2.1556,2.0494,4.926,0.0873,0.1697,0.0824,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0824."
TOPSIN_ET_DC_SMALL_Vp_01,MEASURE_ET_C300M1B,C_broadscreen_outlier_neither_high,2.2471,2.1554,4.083,0.0046,0.087,0.0824,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0824."
MEASURE_ET_DC_RF_Min_S21_Mag_L1002,THIN_ET_TF_AB_2,E_spline_strong_v3_underrepresented,2.2053,2.106,4.504,0.0421,0.1245,0.0824,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0824."
MEASURE_ET_DC_Big_Imax,OHMIC_ET_Rc_an_ct2,E_spline_strong_v3_underrepresented,2.1105,2.0034,5.075,0.115,0.1974,0.0824,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0824."
FIC_ET_DC_RF_Ids_m0p2,FIC_ET_DC_RF_Id_gm_max,A_high_x_high,2.2229,2.1203,4.617,0.0266,0.1089,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_DC_RF_Vt_gd,FIC_ET_sh_f_tn_23,A_high_x_high,2.2423,2.1409,4.524,0.0096,0.0919,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_DC_PIV_Ids0_QP1,FIN_FIN_Alignment_FIN_to_ohmic_alignment,A_high_x_high,2.209,2.1178,4.13,0.0369,0.1192,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_C100C300pf,THIN_ET_lkg_PAD_10,A_high_x_high,2.0839,1.9763,5.164,0.1418,0.2241,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_DC_RF_Max_S11_Freq_L2180,MEASURE_ET_C300M1B_0,A_high_x_high,2.2481,2.1547,4.153,0.0049,0.0872,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_CapPARCAP,MEASURE_ET_Load_Pull_GL_set,A_high_x_high,2.1605,2.0632,4.506,0.0806,0.1629,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_DC_PIV_Ids0_QP1,MaskSetSupplyChipsCount,A_high_x_high,2.1936,2.0908,4.687,0.0483,0.1307,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_DC_RF_Max_S11_Freq_L1002,OHMIC_ET_Rc_an_ct2,A_high_x_high,2.1346,2.0349,4.672,0.1023,0.1847,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_DC_RF_Max_S11_Freq_L2180,MEASURE_ET_lkg_70,A_high_x_high,2.0854,1.987,4.718,0.137,0.2193,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_DC_RF_S11dB_26GHz,TOPSIN_ET_lkg_Cap2,A_high_x_high,2.0638,1.9607,4.993,0.1477,0.2301,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,TOPSIN_ET_lkg_SY07_10,A_high_x_high,2.0074,1.8968,5.514,0.1901,0.2724,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
TOPSIN_ET_CapFICBRGM,MEASURE_ET_DC_SEC_S_Vg_at_I1_neg,A_high_x_high,2.1726,2.0749,4.5,0.0667,0.1489,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_DC_SMALL_Ids_m0p2,MEASURE_ET_USV_Cappf_0,A_high_x_high,2.1707,2.0729,4.507,0.0697,0.152,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_DC_Stress_Id_stress_before,TOPSIN_ET_lkg_Cap3,A_high_x_high,2.1434,2.0359,5.012,0.0927,0.175,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,OHMIC_ET_R314,A_high_x_high,2.0301,1.9313,4.865,0.1804,0.2627,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_Load_Pull_Gss,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,A_high_x_high,2.0915,1.9881,4.944,0.1339,0.2162,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
TOPSIN_ET_sh_f_tn_23,MEASURE_ET_LT_SEC_Vg_Id_min,A_high_x_high,2.2564,2.1562,4.44,-0.0033,0.079,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_RF_Modeling_Fmax,TOPSIN_ET_DC_RF_Idss,A_high_x_high,2.2513,2.1546,4.294,0.0027,0.085,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
TOPSIN_ET_DC_SMALL_Vbgd_0p1,MEASURE_ET_RF_Modeling_K,A_high_x_high,2.1873,2.091,4.403,0.0496,0.1319,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
OHMIC_ET_R114,MEASURE_ET_RF_Modeling_S12ang_10GHz,A_high_x_high,2.2347,2.1383,4.316,0.0089,0.0912,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_Rc_OG144,THIN_ET_Rc_OG142,A_high_x_high,2.1717,2.0748,4.458,0.0589,0.1412,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_Vbkdn_Cap100_Long,TOPSIN_ET_Rc_f_tn_23,A_high_x_high,2.1905,2.0909,4.545,0.0508,0.1331,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
TOPSIN_ET_CapPARCAP_0,MEASURE_ET_lkg_C300pf,A_high_x_high,2.0293,1.9256,5.115,0.1737,0.2561,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
TOPSIN_ET_CapPARCAP_0,SIN_GATE_ET_lkg_SY8_80,A_high_x_high,1.9691,1.8662,5.228,0.2139,0.2962,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
TOPSIN_ET_sh_GA144,TFRP_ET_Rsh_TFR2,A_high_x_high,2.1609,2.0592,4.705,0.0786,0.1609,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
TOPSIN_ET_lkg_CapPARCAP,THIN_ET_DC_RF_Vg_optt1,A_high_x_high,2.0436,1.9356,5.282,0.1707,0.253,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
TOPSIN_ET_R114,TOPSIN_ET_DC_RF_Vbgs_0p1,A_high_x_high,2.1561,2.058,4.551,0.0824,0.1648,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
TOPSIN_ET_lkg_SY8_80,TOPSIN_ET_R114,A_high_x_high,2.0842,1.9838,4.818,0.1292,0.2114,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
TOPSIN_ET_lkg_C300pf,TOPSIN_ET_R514,A_high_x_high,2.0537,1.9579,4.665,0.1601,0.2423,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
THIN_ET_DC_RF_Vp_01,MEASURE_ET_DC_SEC_Vp_1mA,B_high_x_special_evidence,2.2888,2.2001,3.879,-0.035,0.0472,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
TOPSIN_ET_lkg_C300pf,MEASURE_ET_DC_RF_CF_S22_Ph_L1002,B_high_x_special_evidence,2.1102,2.0022,5.121,0.1057,0.188,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
SIN_ET_DC_RF_Vt_gd,TOPSIN_ET_C300_0,B_high_x_special_evidence,2.2402,2.1419,4.386,0.0123,0.0946,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
FIC_ET_lkg_SY8_80,MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos,B_high_x_special_evidence,2.0872,1.9856,4.869,0.1306,0.2129,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
TOPSIN_ET_CapFICBRGM_0,MEASURE_ET_DC_Big_S22dB_10GHz,C_broadscreen_outlier_neither_high,2.2352,2.1375,4.371,0.01,0.0923,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
MEASURE_ET_Vp_1,THIN_ET_DC_RF_Vg_optt1,E_spline_strong_v3_underrepresented,2.2422,2.1456,4.309,0.0087,0.091,0.0823,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0823."
BRGM_ET_KLV_F_AB_4u,MEASURE_ET_USV_Cappf,A_high_x_high,2.1713,2.0698,4.676,0.0706,0.1528,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
THIN_ET_R_4000_HOR,BRGM_ET_Rsh_F_AB_2,A_high_x_high,2.2032,2.104,4.499,0.0404,0.1227,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_PIV_Drain_Lag_0,BRGM_ET_lkg_SY8_80,A_high_x_high,2.0978,1.996,4.851,0.1317,0.2139,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
CATHODE_ET_Rcat_cn_1,MEASURE_ET_lkg_CapFICM1,A_high_x_high,1.9832,1.8818,5.111,0.2138,0.2959,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_Load_Pull_Gss,CATHODE_ET_Rcat_cn_3_OW_ST,A_high_x_high,2.1644,2.0582,4.908,0.0736,0.1558,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
FIC_ET_Bad_Gates,TOPSIN_ET_DC_RF_Vbgd1,A_high_x_high,2.2317,2.1321,4.464,0.0196,0.1018,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,FIC_ET_DC_RF_Vbgs_0p01,A_high_x_high,2.0286,1.9256,5.077,0.1781,0.2603,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,MEASURE_ET_C_CAT_2,A_high_x_high,2.2107,2.1152,4.32,0.0337,0.1159,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_RF_Modeling_K,FIC_ET_Probe_Number,A_high_x_high,2.2512,2.156,4.227,-0.0014,0.0808,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_RF_Modeling_Vth,FIN_FIN_Alignment_FIN_to_ohmic_alignment,A_high_x_high,2.1969,2.0971,4.546,0.0494,0.1315,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_C100,MEASURE_ET_RF_Modeling_S12ang_10GHz,A_high_x_high,2.2611,2.167,4.162,-0.0104,0.0718,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_RF_Max_S11_Freq_L2180,MEASURE_ET_Cap2pf,A_high_x_high,2.2766,2.1851,4.019,-0.0233,0.0589,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_Cap2pf,THIN_ET_DC_RF_Imax,A_high_x_high,2.2066,2.1131,4.237,0.0341,0.1163,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_RF_Modeling_Ft,MEASURE_ET_DC_Big_Vg_optt2,A_high_x_high,2.1557,2.0609,4.399,0.0682,0.1504,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_Diode_S11_dB_forw,SIN_ET_DC_RF_Gm_0,A_high_x_high,2.2246,2.1265,4.407,0.0239,0.1061,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_SMALL_Imax,MEASURE_ET_DC_RD_K,A_high_x_high,2.1703,2.0735,4.458,0.0681,0.1503,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_RF_Idss_W,MEASURE_ET_lkg_PAD_10,A_high_x_high,2.0642,1.9679,4.663,0.1527,0.2349,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_RF_K_W,MEASURE_ET_LT_SEC_Vg_Id_min,A_high_x_high,2.212,2.1142,4.423,0.0314,0.1136,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_RF_Max_S11_Freq_L1002,THIN_ET_C100,A_high_x_high,2.2255,2.1319,4.204,0.0284,0.1105,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,MEASURE_ET_lkg_10,A_high_x_high,2.0401,1.9358,5.112,0.178,0.2601,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_RF_S11ang_10GHz,TOPSIN_ET_DC_PIV_Ids0_QP3,A_high_x_high,2.2408,2.1415,4.429,0.0068,0.0889,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_RF_S11dB_10GHz,THIN_ET_TF_AB_2,A_high_x_high,2.1938,2.0982,4.361,0.0519,0.1342,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_C100CapPARCAP,A_high_x_high,2.0698,1.9617,5.222,0.1549,0.2371,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,A_high_x_high,2.1541,2.058,4.464,0.0848,0.167,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_SEC_X_Bin,SIN_GATE_ET_lkg_SY8_80,A_high_x_high,2.035,1.9188,5.706,0.1688,0.251,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
TOPSIN_ET_Load_Pull_Id_ini,MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,A_high_x_high,2.2613,2.1681,4.124,-0.0163,0.0659,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_Stress_Vp_after,MEASURE_ET_Rc_OG142_GN,A_high_x_high,2.1974,2.105,4.206,0.0352,0.1174,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,TOPSIN_ET_Cap_USV,A_high_x_high,2.0394,1.9305,5.34,0.1766,0.2587,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_LT_SEC_Vbgd1_Vd3,MEASURE_ET_lkg_50_at20V,A_high_x_high,2.0418,1.942,4.891,0.1689,0.2511,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_R414,MEASURE_ET_RF_Modeling_Ft,A_high_x_high,2.1937,2.0989,4.321,0.0433,0.1255,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_Rc_OG144,THIN_ET_Rc_TF_AB_2,A_high_x_high,2.176,2.0832,4.266,0.06,0.1422,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_lkg_5,MEASURE_ET_Rc_cat_ct2_OW_ST,A_high_x_high,2.0053,1.8959,5.456,0.1995,0.2817,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
THIN_ET_R314,MEASURE_ET_lkg_C300,A_high_x_high,2.0561,1.953,5.012,0.1578,0.24,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_lkg_CapFICBRGM,SIN_GATE_ET_Rc_OG142_GN,A_high_x_high,2.1722,2.0762,4.419,0.0649,0.1471,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_lkg_CapFICBRGM,THIN_ET_lkg_C200,A_high_x_high,1.9938,1.8814,5.639,0.2087,0.2908,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
SIN_ET_DC_RF_Vg_gm_max,OHMIC_ET_R114,A_high_x_high,2.204,2.1063,4.432,0.0386,0.1209,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
OHMIC_ET_Rc_OG142,TOPSIN_ET_DC_PIV_Ids0_QP3,A_high_x_high,2.2164,2.1166,4.504,0.0289,0.1111,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
TOPSIN_ET_OHMC,THIN_ET_DC_RF_Vg_optt3,A_high_x_high,2.2201,2.1288,4.113,0.022,0.1042,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
TOPSIN_ET_C100CapPARCAP,THIN_ET_lkg_C200,A_high_x_high,1.9951,1.8771,5.916,0.2092,0.2915,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
TOPSIN_ET_C100Cap1pf,TOPSIN_ET_Cap_C300,A_high_x_high,2.1944,2.0906,4.729,0.052,0.1342,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
TOPSIN_ET_lkg_SY8_80,TOPSIN_ET_Cap_USV,A_high_x_high,2.0889,1.9861,4.92,0.1311,0.2133,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
TOPSIN_ET_lkg_SY8_80,TOPSIN_ET_DC_SMALL_Vbgd1,A_high_x_high,2.1101,2.0144,4.537,0.1069,0.1891,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
TOPSIN_ET_Vp_1,OHMIC_ET_Rc_OG142,B_high_x_special_evidence,2.2235,2.1271,4.334,0.0238,0.106,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_DC_RF_Vp_01_W,MEASURE_ET_C100CapPARCAP,B_high_x_special_evidence,2.1857,2.0823,4.733,0.0576,0.1398,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_Diode_Vbpin,B_high_x_special_evidence,2.1005,1.9991,4.828,0.1343,0.2165,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
THIN_ET_Rcat_cn_1,MEASURE_ET_C300FB,B_high_x_special_evidence,2.1998,2.103,4.402,0.0478,0.13,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
MEASURE_ET_Cap_C300M1B,THIN_ET_TF_AB_1,E_spline_strong_v3_underrepresented,2.1844,2.0809,4.737,0.0613,0.1435,0.0822,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0822."
FIC_ET_Gm_max,FIC_ET_DC_RF_Id_gm_max,A_high_x_high,2.2199,2.1225,4.387,0.0228,0.1049,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
FIC_ET_R_f_tn_1,TOPSIN_ET_lkg_C300pf,A_high_x_high,2.0982,2.0046,4.464,0.1208,0.2029,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
FIC_ET_Vp_1,TOPSIN_ET_OHMC,A_high_x_high,2.2072,2.1076,4.513,0.0355,0.1176,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
MEASURE_ET_C100CapPARCAP,FIC_ET_lkg_5,A_high_x_high,1.9967,1.8847,5.606,0.214,0.2961,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
MEASURE_ET_LT_SEC_Id_min_mA_mm,FIC_ET_lkg_5,A_high_x_high,2.0718,1.9679,5.016,0.1528,0.2349,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,FIN_FIN_Alignment_FIN_to_ohmic_alignment,A_high_x_high,2.0525,1.949,5.043,0.1619,0.244,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
THIN_ET_DC_RF_Vp_1,FIN_FIN_Alignment_FIN_to_ohmic_alignment,A_high_x_high,2.2046,2.1091,4.333,0.0431,0.1253,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
TOPSIN_ET_R414,MEASURE_ET_ABVIETCH,A_high_x_high,2.1777,2.0774,4.604,0.059,0.1411,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
MEASURE_ET_C300FB_0,MEASURE_ET_DC_SEC_Vgs_0p1V,A_high_x_high,2.212,2.1137,4.444,0.0396,0.1216,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
MEASURE_ET_DC_Diode_S11_dB_forw,MEASURE_ET_RF_Modeling_Fmax,A_high_x_high,2.2647,2.1694,4.208,-0.0117,0.0703,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
MEASURE_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_DC_RF_Idss,A_high_x_high,2.096,1.9977,4.688,0.1336,0.2157,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
MEASURE_ET_DC_RF2_S22ang_26GHz,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,A_high_x_high,2.2064,2.1044,4.623,0.0372,0.1192,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
MEASURE_ET_DC_RF_Idss_W,MEASURE_ET_lkg_C300pf,A_high_x_high,2.0717,1.9762,4.605,0.1466,0.2287,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
THIN_ET_Rcat_cn_1,MEASURE_ET_DC_RF_S11ang_10GHz,A_high_x_high,2.1833,2.0844,4.53,0.0612,0.1433,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
MEASURE_ET_DC_RF_S11dB_10GHz,TOPSIN_ET_Cap2pf,A_high_x_high,2.1392,2.0372,4.771,0.0986,0.1806,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
MEASURE_ET_DC_RF_Vbgs_0p1,MEASURE_ET_RF_Modeling_Ft,A_high_x_high,2.1003,1.9916,5.176,0.1202,0.2022,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
MEASURE_ET_DC_RF_Vbin_gs,TOPSIN_ET_CapFICBRGM,A_high_x_high,2.1559,2.0515,4.84,0.0802,0.1623,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
MEASURE_ET_DC_RF_Vt_gd,MEASURE_ET_lkg_Cap_USV,A_high_x_high,2.0337,1.9237,5.406,0.1791,0.2612,0.0821,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0821."
