parameter_A,parameter_B,broad_screen_score
THIN_ET_Rsh_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.43557282981640477
TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_C450pf,0.43540963253987947
MEASURE_ET_VIA_KLV_2,THIN_ET_lkg_100_at20V,0.4349699803545762
CATHODE_ET_Rc_cat_ct2_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4349338924615974
MEASURE_ET_C300pf,THIN_ET_lkg_100_at20V,0.43480785815296163
MEASURE_ET_Rc_OG144,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.43469789957605864
TOPSIN_ET_CapPARCAP,TOPSIN_ET_lkg_C450pf,0.43447562297264597
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.43445828407476444
MEASURE_ET_RF_Modeling_ids_m0p2_W,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4343726766958857
THIN_ET_lkg_100_at20V,THIN_ET_Rc_OG142,0.4341869583730959
SIN_GATE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,0.434116757711818
MEASURE_ET_DC_RF2_S22dB_26GHz,TOPSIN_ET_lkg_C450pf,0.43408379461086954
MEASURE_ET_CapUSV,THIN_ET_lkg_100_at20V,0.4338947721411973
MEASURE_ET_Rc_OG144,THIN_ET_lkg_100_at20V,0.4337730214820299
MEASURE_ET_C300M1B_0,THIN_ET_lkg_100_at20V,0.43371958846072156
MEASURE_ET_C100C175pf,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.433686917449569
MEASURE_ET_Rcat_cn_1,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.43366930222921646
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapPARCAP,0.4335525870595571
MEASURE_ET_DC_RF_S11ang_10GHz,SIN_GATE_ET_lkg_SY8_80,0.43355191797548476
MEASURE_ET_Rcat_cn_1_OW_ST,THIN_ET_lkg_100_at20V,0.43350593995876174
MEASURE_ET_Rc_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4334023677245679
THIN_ET_Rcat_cn_3,TOPSIN_ET_lkg_C450pf,0.43325142000714967
FIC_ET_lkg_SY8_80,SIN_GATE_ET_Rc_an_ct2,0.4328051286826952
THIN_ET_R314,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4327581891069177
THIN_ET_Rcat_cn_1,TOPSIN_ET_lkg_C450pf,0.4326004636287877
FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.43240127779900644
TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_RF_Vg_max_Vd,0.43217328819719325
MEASURE_ET_Rc_OG144,TOPSIN_ET_lkg_C450pf,0.43197147241401707
