parameter_A,parameter_B,channels,additive_cv_rmse,joint_cv_rmse,interaction_rmse_improvement_pct,additive_cv_r2,joint_cv_r2,interaction_incremental_r2,shap_interaction_strength,h_statistic_strength,fold_reproducibility,high_yield_region,low_yield_region,conditional_effect_description,evidence_label,reason
TOPSIN_ET_lkg_Cap3,MEASURE_ET_C300FB_0,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.124,1.8231,14.167,0.1116,0.337,0.2254,5e-05,0.0168,5/5,"TOPSIN_ET_lkg_Cap3 in [-inf, 0.04768] AND MEASURE_ET_C300FB_0 in [0.7749, 0.8234]","TOPSIN_ET_lkg_Cap3 in [0.1266, +inf] AND MEASURE_ET_C300FB_0 in [-inf, 0.7124]","Effect of TOPSIN_ET_lkg_Cap3 (low->high) on Yield: when MEASURE_ET_C300FB_0 is low = -3.627 pt, medium = -1.643 pt, high = -0.967 pt. The effect of TOPSIN_ET_lkg_Cap3 is largest when MEASURE_ET_C300FB_0 is low (a decrease of 3.627 pt) and smallest when MEASURE_ET_C300FB_0 is high (0.967 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2254."
THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.1497,1.9003,11.602,0.0462,0.27,0.2238,4e-05,0.0026,5/5,"THIN_ET_lkg_100_at20V in [0.04549, 0.06038] AND TOPSIN_ET_lkg_SY8_80 in [0.08793, 0.1345]","THIN_ET_lkg_100_at20V in [0.1194, +inf] AND TOPSIN_ET_lkg_SY8_80 in [0.1345, +inf]","Effect of THIN_ET_lkg_100_at20V (low->high) on Yield: when TOPSIN_ET_lkg_SY8_80 is low = -1.414 pt, medium = -1.266 pt, high = -2.238 pt. The effect of THIN_ET_lkg_100_at20V is largest when TOPSIN_ET_lkg_SY8_80 is high (a decrease of 2.238 pt) and smallest when TOPSIN_ET_lkg_SY8_80 is medium (1.266 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2238."
THIN_ET_lkg_100_at20V,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,A_top_score2_nonadditivity,2.1442,1.9065,11.088,0.0512,0.2686,0.2175,0.0,0.0,5/5,"THIN_ET_lkg_100_at20V in [0.06038, 0.08743] AND MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm in [-inf, 0.04492]","THIN_ET_lkg_100_at20V in [0.1194, +inf] AND MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm in [0.1347, +inf]","Effect of THIN_ET_lkg_100_at20V (low->high) on Yield: when MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm is low = -1.117 pt, medium = -0.999 pt, high = -2.447 pt. The effect of THIN_ET_lkg_100_at20V is largest when MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm is high (a decrease of 2.447 pt) and smallest when MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm is medium (0.999 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2175."
TOPSIN_ET_CapFICM1_0,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0674,1.7778,14.009,0.1556,0.3712,0.2156,0.0,0.0,5/5,"TOPSIN_ET_CapFICM1_0 in [-inf, 0.6929] AND TOPSIN_ET_lkg_CapFICM1 in [0.06414, 0.0964]","TOPSIN_ET_CapFICM1_0 in [-inf, 0.6929] AND TOPSIN_ET_lkg_CapFICM1 in [0.1347, +inf]","Effect of TOPSIN_ET_CapFICM1_0 (low->high) on Yield: when TOPSIN_ET_lkg_CapFICM1 is low = -0.250 pt, medium = -2.167 pt, high = +1.557 pt. The effect of TOPSIN_ET_CapFICM1_0 is largest when TOPSIN_ET_lkg_CapFICM1 is medium (a decrease of 2.167 pt) and smallest when TOPSIN_ET_lkg_CapFICM1 is low (0.250 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2156."
SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,TOPSIN_ET_Load_Pull_Id_ini,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.2523,1.9937,11.481,-0.0043,0.2033,0.2076,0.0,0.0004,5/5,"SIN_CAPACITOR_ThicknessGN1_SiN_Thickness in [-inf, 0.1443] AND TOPSIN_ET_Load_Pull_Id_ini in [22.29, 23.48]","SIN_CAPACITOR_ThicknessGN1_SiN_Thickness in [-inf, 0.1443] AND TOPSIN_ET_Load_Pull_Id_ini in [-inf, 20.24]","Effect of SIN_CAPACITOR_ThicknessGN1_SiN_Thickness (low->high) on Yield: when TOPSIN_ET_Load_Pull_Id_ini is low = +1.757 pt, medium = +0.193 pt, high = -3.060 pt. The effect of SIN_CAPACITOR_ThicknessGN1_SiN_Thickness is largest when TOPSIN_ET_Load_Pull_Id_ini is high (a decrease of 3.060 pt) and smallest when TOPSIN_ET_Load_Pull_Id_ini is medium (0.193 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2076."
TOPSIN_ET_C100CapFICM1,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity,2.0867,1.8281,12.391,0.1438,0.3446,0.2009,0.0,0.0,5/5,"TOPSIN_ET_C100CapFICM1 in [-inf, 0.7028] AND TOPSIN_ET_lkg_CapFICM1 in [0.06414, 0.0964]","TOPSIN_ET_C100CapFICM1 in [-inf, 0.7028] AND TOPSIN_ET_lkg_CapFICM1 in [0.1347, +inf]","Effect of TOPSIN_ET_C100CapFICM1 (low->high) on Yield: when TOPSIN_ET_lkg_CapFICM1 is low = +0.021 pt, medium = -2.248 pt, high = +2.790 pt. The effect of TOPSIN_ET_C100CapFICM1 is largest when TOPSIN_ET_lkg_CapFICM1 is high (an increase of 2.790 pt) and smallest when TOPSIN_ET_lkg_CapFICM1 is low (0.021 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2009."
TOPSIN_ET_Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,A_top_score2_nonadditivity,2.2516,2.0083,10.807,-0.0028,0.1936,0.1964,3e-05,0.0067,5/5,"TOPSIN_ET_Cap3pf in [-inf, 0.7023] AND TOPSIN_ET_Load_Pull_Id_ini in [22.29, 23.48]","TOPSIN_ET_Cap3pf in [-inf, 0.7023] AND TOPSIN_ET_Load_Pull_Id_ini in [-inf, 20.24]","Effect of TOPSIN_ET_Cap3pf (low->high) on Yield: when TOPSIN_ET_Load_Pull_Id_ini is low = +1.319 pt, medium = -0.036 pt, high = -2.134 pt. The effect of TOPSIN_ET_Cap3pf is largest when TOPSIN_ET_Load_Pull_Id_ini is high (a decrease of 2.134 pt) and smallest when TOPSIN_ET_Load_Pull_Id_ini is medium (0.036 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1964."
THIN_ET_C200_0,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity,2.0979,1.843,12.15,0.1303,0.3264,0.1961,0.0,0.0,5/5,"THIN_ET_C200_0 in [0.8862, +inf] AND TOPSIN_ET_lkg_CapFICM1 in [-inf, 0.04576]","THIN_ET_C200_0 in [-inf, 0.7112] AND TOPSIN_ET_lkg_CapFICM1 in [0.1347, +inf]","Effect of THIN_ET_C200_0 (low->high) on Yield: when TOPSIN_ET_lkg_CapFICM1 is low = +0.241 pt, medium = -1.704 pt, high = +2.678 pt. The effect of THIN_ET_C200_0 is largest when TOPSIN_ET_lkg_CapFICM1 is high (an increase of 2.678 pt) and smallest when TOPSIN_ET_lkg_CapFICM1 is low (0.241 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1961."
TOPSIN_ET_lkg_CapFICM1,TOPSIN_ET_C300,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0478,1.7903,12.573,0.1736,0.369,0.1954,0.0,0.0,5/5,"TOPSIN_ET_lkg_CapFICM1 in [0.06414, 0.0964] AND TOPSIN_ET_C300 in [-inf, 0.6969]","TOPSIN_ET_lkg_CapFICM1 in [0.1347, +inf] AND TOPSIN_ET_C300 in [-inf, 0.6969]","Effect of TOPSIN_ET_lkg_CapFICM1 (low->high) on Yield: when TOPSIN_ET_C300 is low = -2.497 pt, medium = -1.641 pt, high = -1.384 pt. The effect of TOPSIN_ET_lkg_CapFICM1 is largest when TOPSIN_ET_C300 is low (a decrease of 2.497 pt) and smallest when TOPSIN_ET_C300 is high (1.384 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1954."
MEASURE_ET_C100C300pf,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity,2.0798,1.8224,12.379,0.1472,0.3425,0.1953,0.0,0.0,5/5,"MEASURE_ET_C100C300pf in [-inf, 0.7083] AND TOPSIN_ET_lkg_CapFICM1 in [0.06414, 0.0964]","MEASURE_ET_C100C300pf in [-inf, 0.7083] AND TOPSIN_ET_lkg_CapFICM1 in [0.1347, +inf]","Effect of MEASURE_ET_C100C300pf (low->high) on Yield: when TOPSIN_ET_lkg_CapFICM1 is low = -0.002 pt, medium = -2.359 pt, high = +1.792 pt. The effect of MEASURE_ET_C100C300pf is largest when TOPSIN_ET_lkg_CapFICM1 is medium (a decrease of 2.359 pt) and smallest when TOPSIN_ET_lkg_CapFICM1 is low (0.002 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1953."
THIN_ET_lkg_100_at20V,MEASURE_ET_lkg_10,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.1324,1.9023,10.79,0.0758,0.2703,0.1945,0.0,0.0005,5/5,"THIN_ET_lkg_100_at20V in [-inf, 0.04549] AND MEASURE_ET_lkg_10 in [0.06252, 0.08519]","THIN_ET_lkg_100_at20V in [0.1194, +inf] AND MEASURE_ET_lkg_10 in [0.123, +inf]","Effect of THIN_ET_lkg_100_at20V (low->high) on Yield: when MEASURE_ET_lkg_10 is low = -1.535 pt, medium = -0.558 pt, high = -1.343 pt. The effect of THIN_ET_lkg_100_at20V is largest when MEASURE_ET_lkg_10 is low (a decrease of 1.535 pt) and smallest when MEASURE_ET_lkg_10 is medium (0.558 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1945."
THIN_ET_TF_AB_2,MEASURE_ET_lkg_C300pf,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0858,1.8463,11.479,0.1378,0.3291,0.1913,0.0,0.0,5/5,"THIN_ET_TF_AB_2 in [-inf, 1.653] AND MEASURE_ET_lkg_C300pf in [-inf, 0.04653]","THIN_ET_TF_AB_2 in [4.837, +inf] AND MEASURE_ET_lkg_C300pf in [0.1309, +inf]","Effect of THIN_ET_TF_AB_2 (low->high) on Yield: when MEASURE_ET_lkg_C300pf is low = -0.410 pt, medium = +0.835 pt, high = -0.652 pt. The effect of THIN_ET_TF_AB_2 is largest when MEASURE_ET_lkg_C300pf is medium (an increase of 0.835 pt) and smallest when MEASURE_ET_lkg_C300pf is low (0.410 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1913."
THIN_ET_DC_RF_Vp_1,MEASURE_ET_DC_Stress_Vp_after,F_score_disagreement,2.3055,2.0822,9.683,-0.0568,0.1317,0.1885,0.0,0.0,5/5,"THIN_ET_DC_RF_Vp_1 in [-1.064, -0.9749] AND MEASURE_ET_DC_Stress_Vp_after in [-1.169, -1.061]","THIN_ET_DC_RF_Vp_1 in [-1.064, -0.9749] AND MEASURE_ET_DC_Stress_Vp_after in [-inf, -1.169]","Effect of THIN_ET_DC_RF_Vp_1 (low->high) on Yield: when MEASURE_ET_DC_Stress_Vp_after is low = -0.078 pt, medium = -0.265 pt, high = +0.424 pt. The effect of THIN_ET_DC_RF_Vp_1 is largest when MEASURE_ET_DC_Stress_Vp_after is high (an increase of 0.424 pt) and smallest when MEASURE_ET_DC_Stress_Vp_after is low (0.078 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1885."
MEASURE_ET_DC_RF_Vbin_gs,MEASURE_ET_DC_RF_Vt_gd,A_top_score2_nonadditivity,2.1975,1.9658,10.543,0.0449,0.2321,0.1872,0.00013,0.0246,5/5,"MEASURE_ET_DC_RF_Vbin_gs in [28.34, 30.03] AND MEASURE_ET_DC_RF_Vt_gd in [7.751, 8.637]","MEASURE_ET_DC_RF_Vbin_gs in [-inf, 24.87] AND MEASURE_ET_DC_RF_Vt_gd in [-inf, 5.244]","Effect of MEASURE_ET_DC_RF_Vbin_gs (low->high) on Yield: when MEASURE_ET_DC_RF_Vt_gd is low = +3.384 pt, medium = +1.012 pt, high = -0.798 pt. The effect of MEASURE_ET_DC_RF_Vbin_gs is largest when MEASURE_ET_DC_RF_Vt_gd is low (an increase of 3.384 pt) and smallest when MEASURE_ET_DC_RF_Vt_gd is high (0.798 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1872."
TOPSIN_ET_DC_PIV_Ids1_QP1,TOPSIN_ET_Gate_res,A_top_score2_nonadditivity,2.1247,1.8832,11.366,0.1019,0.2888,0.187,0.0,0.0,5/5,"TOPSIN_ET_DC_PIV_Ids1_QP1 in [17.03, +inf] AND TOPSIN_ET_Gate_res in [20.27, 21.32]","TOPSIN_ET_DC_PIV_Ids1_QP1 in [-inf, 13.04] AND TOPSIN_ET_Gate_res in [-inf, 17.88]","Effect of TOPSIN_ET_DC_PIV_Ids1_QP1 (low->high) on Yield: when TOPSIN_ET_Gate_res is low = +2.867 pt, medium = +0.337 pt, high = -1.299 pt. The effect of TOPSIN_ET_DC_PIV_Ids1_QP1 is largest when TOPSIN_ET_Gate_res is low (an increase of 2.867 pt) and smallest when TOPSIN_ET_Gate_res is medium (0.337 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1870."
THIN_ET_TF_AB_2,MEASURE_ET_lkg_50,A_top_score2_nonadditivity,2.0774,1.8473,11.075,0.1392,0.3239,0.1847,0.0,0.0,5/5,"THIN_ET_TF_AB_2 in [1.653, 2.612] AND MEASURE_ET_lkg_50 in [-inf, 0.04496]","THIN_ET_TF_AB_2 in [4.837, +inf] AND MEASURE_ET_lkg_50 in [0.1296, +inf]","Effect of THIN_ET_TF_AB_2 (low->high) on Yield: when MEASURE_ET_lkg_50 is low = -0.414 pt, medium = +0.812 pt, high = -0.517 pt. The effect of THIN_ET_TF_AB_2 is largest when MEASURE_ET_lkg_50 is medium (an increase of 0.812 pt) and smallest when MEASURE_ET_lkg_50 is low (0.414 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1847."
TOPSIN_ET_C100Cap1pf,ANODE_ET_Rc_an_ct2_OW_CR,B_existing_shap_interaction+D_tree_path_cooccurrence,2.1221,1.885,11.175,0.1119,0.2965,0.1846,0.00234,0.0439,5/5,"TOPSIN_ET_C100Cap1pf in [0.6956, 0.7786] AND ANODE_ET_Rc_an_ct2_OW_CR in [0.2048, 0.225]","TOPSIN_ET_C100Cap1pf in [0.8836, +inf] AND ANODE_ET_Rc_an_ct2_OW_CR in [-inf, 0.1869]","Effect of TOPSIN_ET_C100Cap1pf (low->high) on Yield: when ANODE_ET_Rc_an_ct2_OW_CR is low = -2.965 pt, medium = -1.927 pt, high = +1.037 pt. The effect of TOPSIN_ET_C100Cap1pf is largest when ANODE_ET_Rc_an_ct2_OW_CR is low (a decrease of 2.965 pt) and smallest when ANODE_ET_Rc_an_ct2_OW_CR is high (1.037 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1846."
TOPSIN_ET_lkg_C450pf,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,B_existing_shap_interaction+C_existing_h_statistic,1.9928,1.7371,12.831,0.2077,0.3907,0.1831,0.00556,0.1999,5/5,"TOPSIN_ET_lkg_C450pf in [0.06232, 0.08421] AND EBCR2_Ali_Litho_Gate_to_ohmic_alignment in [-0.01467, -0.002942]","TOPSIN_ET_lkg_C450pf in [0.1248, +inf] AND EBCR2_Ali_Litho_Gate_to_ohmic_alignment in [0.01798, +inf]","Effect of TOPSIN_ET_lkg_C450pf (low->high) on Yield: when EBCR2_Ali_Litho_Gate_to_ohmic_alignment is low = -1.301 pt, medium = -1.645 pt, high = -4.234 pt. The effect of TOPSIN_ET_lkg_C450pf is largest when EBCR2_Ali_Litho_Gate_to_ohmic_alignment is high (a decrease of 4.234 pt) and smallest when EBCR2_Ali_Litho_Gate_to_ohmic_alignment is low (1.301 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1831."
THIN_ET_TF_AB_2,MEASURE_ET_lkg_C300,A_top_score2_nonadditivity,2.0644,1.8362,11.057,0.152,0.3341,0.182,0.0,0.0,5/5,"THIN_ET_TF_AB_2 in [1.653, 2.612] AND MEASURE_ET_lkg_C300 in [0.06371, 0.09118]","THIN_ET_TF_AB_2 in [4.837, +inf] AND MEASURE_ET_lkg_C300 in [0.1376, +inf]","Effect of THIN_ET_TF_AB_2 (low->high) on Yield: when MEASURE_ET_lkg_C300 is low = -0.220 pt, medium = +0.223 pt, high = -0.539 pt. The effect of THIN_ET_TF_AB_2 is largest when MEASURE_ET_lkg_C300 is high (a decrease of 0.539 pt) and smallest when MEASURE_ET_lkg_C300 is low (0.220 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1820."
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_5,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.1163,1.8811,11.114,0.1104,0.2919,0.1815,0.0,0.001,5/5,"MEASURE_ET_DC_SEC_Vp_1mA in [-1.075, -0.9818] AND THIN_ET_lkg_5 in [0.04405, 0.06156]","MEASURE_ET_DC_SEC_Vp_1mA in [-0.9818, -0.8693] AND THIN_ET_lkg_5 in [0.1182, +inf]","Effect of MEASURE_ET_DC_SEC_Vp_1mA (low->high) on Yield: when THIN_ET_lkg_5 is low = -0.376 pt, medium = +1.381 pt, high = +0.556 pt. The effect of MEASURE_ET_DC_SEC_Vp_1mA is largest when THIN_ET_lkg_5 is medium (an increase of 1.381 pt) and smallest when THIN_ET_lkg_5 is low (0.376 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1815."
THIN_ET_DC_RF_Vg_optt3,TOPSIN_ET_lkg_C450pf,C_existing_h_statistic,2.0082,1.7583,12.443,0.1936,0.3698,0.1762,0.0008,0.0573,5/5,"THIN_ET_DC_RF_Vg_optt3 in [5.636, 6.574] AND TOPSIN_ET_lkg_C450pf in [-inf, 0.04826]","THIN_ET_DC_RF_Vg_optt3 in [7.823, +inf] AND TOPSIN_ET_lkg_C450pf in [0.1248, +inf]","Effect of THIN_ET_DC_RF_Vg_optt3 (low->high) on Yield: when TOPSIN_ET_lkg_C450pf is low = +0.505 pt, medium = +0.728 pt, high = -2.392 pt. The effect of THIN_ET_DC_RF_Vg_optt3 is largest when TOPSIN_ET_lkg_C450pf is high (a decrease of 2.392 pt) and smallest when TOPSIN_ET_lkg_C450pf is low (0.505 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1762."
TOPSIN_ET_Cap1pf,THIN_ET_Rc_TF_AB_2,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.1582,1.9288,10.63,0.0778,0.2527,0.175,3e-05,0.0159,5/5,"TOPSIN_ET_Cap1pf in [-inf, 0.7107] AND THIN_ET_Rc_TF_AB_2 in [-inf, 0.1821]","TOPSIN_ET_Cap1pf in [-inf, 0.7107] AND THIN_ET_Rc_TF_AB_2 in [0.2388, +inf]","Effect of TOPSIN_ET_Cap1pf (low->high) on Yield: when THIN_ET_Rc_TF_AB_2 is low = -1.907 pt, medium = -1.134 pt, high = +2.420 pt. The effect of TOPSIN_ET_Cap1pf is largest when THIN_ET_Rc_TF_AB_2 is high (an increase of 2.420 pt) and smallest when THIN_ET_Rc_TF_AB_2 is medium (1.134 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1750."
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MEASURE_ET_C300FB_0,A_top_score2_nonadditivity,2.0774,1.8452,11.18,0.1495,0.3245,0.175,0.0,0.0,5/5,"MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm in [-inf, 0.04374] AND MEASURE_ET_C300FB_0 in [0.7749, 0.8234]","MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm in [0.1249, +inf] AND MEASURE_ET_C300FB_0 in [-inf, 0.7124]","Effect of MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm (low->high) on Yield: when MEASURE_ET_C300FB_0 is low = -4.002 pt, medium = -1.519 pt, high = -0.377 pt. The effect of MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm is largest when MEASURE_ET_C300FB_0 is low (a decrease of 4.002 pt) and smallest when MEASURE_ET_C300FB_0 is high (0.377 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1750."
THIN_ET_DC_RF_Vg_optt3,TOPSIN_ET_DC_SMALL_Vbgd1,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.1458,1.9133,10.838,0.0895,0.2618,0.1722,4e-05,0.007,5/5,"THIN_ET_DC_RF_Vg_optt3 in [4.638, 5.636] AND TOPSIN_ET_DC_SMALL_Vbgd1 in [-inf, 24.37]","THIN_ET_DC_RF_Vg_optt3 in [7.823, +inf] AND TOPSIN_ET_DC_SMALL_Vbgd1 in [-inf, 24.37]","Effect of THIN_ET_DC_RF_Vg_optt3 (low->high) on Yield: when TOPSIN_ET_DC_SMALL_Vbgd1 is low = -1.895 pt, medium = +0.598 pt, high = +0.053 pt. The effect of THIN_ET_DC_RF_Vg_optt3 is largest when TOPSIN_ET_DC_SMALL_Vbgd1 is low (a decrease of 1.895 pt) and smallest when TOPSIN_ET_DC_SMALL_Vbgd1 is high (0.053 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1722."
THIN_ET_TF_AB_2,MEASURE_ET_lkg_USV_Cap,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0997,1.8881,10.077,0.1267,0.2977,0.171,0.0,0.0,5/5,"THIN_ET_TF_AB_2 in [2.612, 3.421] AND MEASURE_ET_lkg_USV_Cap in [0.04587, 0.06677]","THIN_ET_TF_AB_2 in [4.837, +inf] AND MEASURE_ET_lkg_USV_Cap in [0.131, +inf]","Effect of THIN_ET_TF_AB_2 (low->high) on Yield: when MEASURE_ET_lkg_USV_Cap is low = -0.683 pt, medium = +1.626 pt, high = -1.562 pt. The effect of THIN_ET_TF_AB_2 is largest when MEASURE_ET_lkg_USV_Cap is medium (an increase of 1.626 pt) and smallest when MEASURE_ET_lkg_USV_Cap is low (0.683 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1710."
MEASURE_ET_RF_Modeling_Ft,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,A_top_score2_nonadditivity,2.1582,1.9425,9.995,0.0756,0.2458,0.1702,0.0,0.0,5/5,"MEASURE_ET_RF_Modeling_Ft in [8.518, 9.347] AND MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2 in [18.68, 19.98]","MEASURE_ET_RF_Modeling_Ft in [9.347, 10.53] AND MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2 in [19.98, +inf]","Effect of MEASURE_ET_RF_Modeling_Ft (low->high) on Yield: when MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2 is low = -0.842 pt, medium = -0.378 pt, high = -1.465 pt. The effect of MEASURE_ET_RF_Modeling_Ft is largest when MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2 is high (a decrease of 1.465 pt) and smallest when MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2 is medium (0.378 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1702."
TOPSIN_ET_CapFICM1_0,TOPSIN_ET_DC_PIV_Ids0_QP3,F_score_disagreement,2.2388,2.0324,9.222,0.012,0.1814,0.1695,1e-05,0.0012,5/5,"TOPSIN_ET_CapFICM1_0 in [-inf, 0.6929] AND TOPSIN_ET_DC_PIV_Ids0_QP3 in [5.512, +inf]","TOPSIN_ET_CapFICM1_0 in [-inf, 0.6929] AND TOPSIN_ET_DC_PIV_Ids0_QP3 in [-inf, 2.353]","Effect of TOPSIN_ET_CapFICM1_0 (low->high) on Yield: when TOPSIN_ET_DC_PIV_Ids0_QP3 is low = +2.217 pt, medium = -0.101 pt, high = -1.961 pt. The effect of TOPSIN_ET_CapFICM1_0 is largest when TOPSIN_ET_DC_PIV_Ids0_QP3 is low (an increase of 2.217 pt) and smallest when TOPSIN_ET_DC_PIV_Ids0_QP3 is medium (0.101 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1695."
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_PAD_10,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0958,1.8744,10.562,0.1303,0.2993,0.1691,0.0,0.0,5/5,"MEASURE_ET_DC_SEC_Vp_1mA in [-1.075, -0.9818] AND THIN_ET_lkg_PAD_10 in [0.06115, 0.08637]","MEASURE_ET_DC_SEC_Vp_1mA in [-1.075, -0.9818] AND THIN_ET_lkg_PAD_10 in [0.1296, +inf]","Effect of MEASURE_ET_DC_SEC_Vp_1mA (low->high) on Yield: when THIN_ET_lkg_PAD_10 is low = -0.233 pt, medium = +0.661 pt, high = +0.683 pt. The effect of MEASURE_ET_DC_SEC_Vp_1mA is largest when THIN_ET_lkg_PAD_10 is high (an increase of 0.683 pt) and smallest when THIN_ET_lkg_PAD_10 is low (0.233 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1691."
THIN_ET_TF_AB_2,MEASURE_ET_lkg_Cap_USV,A_top_score2_nonadditivity,2.0039,1.7877,10.788,0.2016,0.3676,0.1659,0.0,0.0,5/5,"THIN_ET_TF_AB_2 in [1.653, 2.612] AND MEASURE_ET_lkg_Cap_USV in [-inf, 0.04586]","THIN_ET_TF_AB_2 in [4.837, +inf] AND MEASURE_ET_lkg_Cap_USV in [0.1352, +inf]","Effect of THIN_ET_TF_AB_2 (low->high) on Yield: when MEASURE_ET_lkg_Cap_USV is low = +0.235 pt, medium = +0.764 pt, high = -2.187 pt. The effect of THIN_ET_TF_AB_2 is largest when MEASURE_ET_lkg_Cap_USV is high (a decrease of 2.187 pt) and smallest when MEASURE_ET_lkg_Cap_USV is low (0.235 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1659."
