model,rmse,mae,r2
elasticnet,0.13045823505848864,0.10459511323705493,0.9966917984741019
random_forest,0.11728073645499637,0.08484421513196642,0.9973263637002256
lightgbm,0.02835769977100342,0.02177194436026279,0.9998436884892381
