parameter_A,parameter_B,broad_screen_score,shap_interaction_strength,h_statistic_strength,fold_reproducibility,fold_count,evidence_label
MEASURE_ET_C100CapPARCAP,MEASURE_ET_lkg_CapFICM1,0.4272270278357079,4.9322590347801513e-05,0.003305869830902593,3/5,3,MODERATE
TOPSIN_ET_Gate_res,TOPSIN_ET_lkg_C450pf,0.4260813689385909,3.7431112398716475e-05,0.0010723666398163593,3/5,3,MODERATE
MEASURE_ET_DC_RF_Imax_W,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4251012330689541,3.639611613179377e-05,0.0007368053042036164,3/5,3,MODERATE
MEASURE_ET_Ran_con_3,THIN_ET_lkg_100_at20V,0.4295487568301698,3.111209184389785e-05,0.0004802806204343906,2/5,2,MODERATE
MEASURE_ET_Rc_TF_AB_2,TOPSIN_ET_lkg_C450pf,0.4289023362306605,2.3439072355249725e-05,0.0007111651015347647,2/5,2,MODERATE
CATHODE_ET_Rcat_cn_1,TOPSIN_ET_lkg_C450pf,0.4288473895071226,1.971489457076015e-05,0.0002024372468841977,3/5,3,MODERATE
TOPSIN_ET_DC_PIV_Drain_Lag_1,BMETAL1_Height_Metal1_metal_thickness,0.4272441349113681,1.069270203486272e-05,0.0002713455748745079,3/5,3,MODERATE
OHMIC_ET_Rc_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4314903837901096,7.263066721502208e-07,1.0046525779398595e-13,2/5,2,MODERATE
MEASURE_ET_DC_RF_S11ang_10GHz,TOPSIN_ET_lkg_C450pf,0.4249387358992135,7.077475307957436e-07,2.3578485394215045e-13,3/5,3,MODERATE
THIN_ET_lkg_100_at20V,THIN_ET_Rc_cat_ct2,0.4583466604694788,0.0,6.189075438218262e-14,3/5,3,MODERATE
THIN_ET_Rc_cat_ct2,TOPSIN_ET_lkg_C450pf,0.455678224483102,0.0,1.3101673944753694e-13,4/5,4,MODERATE
THIN_ET_Rc_cat_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4523364264554336,0.0,8.80148237038365e-14,5/5,5,MODERATE
CATHODE_ET_Rcat_cn_3_OW_ST,THIN_ET_lkg_100_at20V,0.439011541758537,0.0,9.0676778638211e-14,4/5,4,MODERATE
MEASURE_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4308598018767771,0.0,1.5885010788998769e-13,3/5,3,MODERATE
MEASURE_ET_Rsh_cat_c2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.427843657024173,0.0,1.8503516237795135e-13,3/5,3,MODERATE
MEASURE_ET_Rcat_cn_1,TOPSIN_ET_lkg_C450pf,0.4273500380802007,0.0,8.777264556979657e-14,4/5,4,MODERATE
CATHODE_ET_Rcat_cn_3_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4272421450204636,0.0,1.4015721367860995e-13,5/5,5,MODERATE
FIC_ET_Rc_f_tn_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4263850954938227,0.0,1.0224200926040433e-13,5/5,5,MODERATE
THIN_ET_Rc_f_tn_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4249124281746754,0.0,1.3558412341691446e-13,4/5,4,MODERATE
MEASURE_ET_Rc_OG144,THIN_ET_lkg_100_at20V,0.4337730214820299,0.00040743063370852144,0.011094166730395342,1/5,1,WEAK
MEASURE_ET_Rcat_cn_1_OW_ST,THIN_ET_lkg_100_at20V,0.4335059399587617,0.0002619886322350249,0.006575213796702263,1/5,1,WEAK
FIC_ET_lkg_SY8_80,FIC_ET_DC_RF_Ids_m0p2,0.4273378278600432,8.74940507906285e-05,0.009862190327337962,1/5,1,WEAK
TOPSIN_ET_CapPARCAP,TOPSIN_ET_lkg_C450pf,0.4344756229726459,1.4048239253258158e-06,0.0001235972111541243,1/5,1,WEAK
TOPSIN_ET_CapPARCAP_0,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4559963367052597,0.0,5.3656082996419966e-14,2/5,2,WEAK
OHMIC_ET_Rc_an_ct2,TOPSIN_ET_lkg_C450pf,0.4465419019200753,0.0,1.4155418168201305e-13,2/5,2,WEAK
MEASURE_ET_Rc_an_ct2,TOPSIN_ET_lkg_C450pf,0.4416558747564635,0.0,2.1685101518481305e-13,2/5,2,WEAK
TOPSIN_ET_CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4382053531244131,0.0,1.6982180666736867e-13,1/5,1,WEAK
CATHODE_ET_Rc_cat_ct2_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4349338924615974,0.0,1.381534885265177e-13,2/5,2,WEAK
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapPARCAP,0.4335525870595571,0.0,6.800885282486318e-14,2/5,2,WEAK
FIC_ET_lkg_SY8_80,MEASURE_ET_Rcat_cn_1_OW_ST,0.4310209115226738,0.0,9.493874687760782e-13,2/5,2,WEAK
FIC_ET_lkg_SY8_80,THIN_ET_Rc_cat_ct2,0.4300483000088928,0.0,6.2939153953087494e-12,2/5,2,WEAK
MEASURE_ET_Rcat_cn_1,THIN_ET_lkg_100_at20V,0.4295554950586595,0.0,5.839692455360975e-14,1/5,1,WEAK
MEASURE_ET_lkg_10,MEASURE_ET_Rc_OG142_GN,0.4252079044551498,0.0,5.414223056452938e-13,1/5,1,WEAK
FIC_ET_lkg_SY8_80,FIC_ET_Rc_f_tn_23,0.4251978635958234,0.0,7.0499355576710016e-12,1/5,1,WEAK
MEASURE_ET_lkg_CapFICM1,THIN_ET_Rc_cat_ct2,0.4249846188025964,0.0,2.760020189804467e-12,1/5,1,WEAK
MEASURE_ET_Rcat_cn_1_OW_ST,TOPSIN_ET_lkg_C450pf,0.4358813006231732,0.0005434932879535454,0.0036406996875815237,0/5,0,INCONCLUSIVE
MEASURE_ET_RF_Modeling_ids_m0p2_W,THIN_ET_lkg_100_at20V,0.4268841950698618,1.2707102482132358e-05,0.00047682562739149504,0/5,0,INCONCLUSIVE
MEASURE_ET_lkg_CapFICM1,OHMIC_ET_Rc_an_ct2,0.4274989099060449,1.6201244727700332e-06,1.6768665289850475e-12,0/5,0,INCONCLUSIVE
THIN_ET_Rc_TF_AB_2,TOPSIN_ET_lkg_C450pf,0.4499237788957135,0.0,9.563610653032482e-14,0/5,0,INCONCLUSIVE
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapPARCAP_0,0.4430632952093623,0.0,5.4668947146202383e-14,0/5,0,INCONCLUSIVE
SIN_GATE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,0.434116757711818,0.0,6.243478817440012e-14,0/5,0,INCONCLUSIVE
MEASURE_ET_Rcat_cn_1,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4336693022292164,0.0,1.4205875413169346e-13,0/5,0,INCONCLUSIVE
