parameter_A,parameter_B,broad_screen_score,shap_interaction_strength,h_statistic_strength,fold_reproducibility,fold_count,evidence_label
MEASURE_ET_DC_RF_S22dB_26GHz_W,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4276005479843456,0.0018843999328509845,0.04071319058910879,5/5,5,STRONG
MEASURE_ET_DC_RF_Gm_m0p2,THIN_ET_lkg_100_at20V,0.4296483818260229,0.0018581267541988096,0.02807069041568659,5/5,5,STRONG
FIC_ET_DC_RF_Ids_m0p2,THIN_ET_lkg_100_at20V,0.4367223375726622,0.001850531269500572,0.022990299325963862,4/5,4,STRONG
THIN_ET_Rc_OG142,TOPSIN_ET_lkg_C450pf,0.44092794264748,0.0018345625700968773,0.033199968966297635,5/5,5,STRONG
SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_lkg_C450pf,0.4561844110324668,0.001815865151597098,0.028596369889464877,5/5,5,STRONG
MEASURE_ET_DC_Big_S11dB_10GHz,THIN_ET_lkg_100_at20V,0.4279052820236988,0.0018016499150242918,0.026243794996383008,5/5,5,STRONG
THIN_ET_lkg_100_at20V,THIN_ET_Rcat_cn_2_OW_ST,0.4368583606449682,0.001781019832444565,0.02262292287719794,4/5,4,STRONG
MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_lkg_C450pf,0.44067161289538,0.0016900755329410258,0.03328154401866354,5/5,5,STRONG
SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_lkg_C450pf,0.4409331826675265,0.0016882421171718891,0.04614709039588659,5/5,5,STRONG
OHMIC_ET_OHMC,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4398361821846637,0.0015152025389425106,0.021603434831387762,5/5,5,STRONG
MEASURE_ET_Rc_cat_ct2,THIN_ET_lkg_100_at20V,0.4368046878582308,0.001480494464193835,0.03210208113289325,5/5,5,STRONG
THIN_ET_lkg_100_at20V,THIN_ET_Rc_OG142,0.4341869583730959,0.001416127610454683,0.014510544320962654,4/5,4,STRONG
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.427329075331454,0.001410746125426195,0.03299453372783094,5/5,5,STRONG
MEASURE_ET_Load_Pull_Gss,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4243680677865282,0.001377317033920987,0.04080800421386636,5/5,5,STRONG
MEASURE_ET_lkg_Cap_USV,MEASURE_ET_Rc_OG142_GN,0.4295245599095912,0.0013654714287435262,0.038111879908646264,4/5,4,STRONG
MEASURE_ET_Rc_F_AB_2,THIN_ET_lkg_100_at20V,0.4308498633819557,0.0013638329924145628,0.020999875668308823,5/5,5,STRONG
MEASURE_ET_Rcat_cn_2_OW_ST,THIN_ET_lkg_100_at20V,0.4272251787399436,0.0013413389881943476,0.025974354675897315,4/5,4,STRONG
MEASURE_ET_Rc_OG142,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.426734841156125,0.001328093997876817,0.017978931154257704,4/5,4,STRONG
TOPSIN_ET_C100CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4271654396703433,0.0013027254901088279,0.026924651410401585,5/5,5,STRONG
MEASURE_ET_C100CapPARCAP,SIN_GATE_ET_lkg_SY8_80,0.4312648623902303,0.0012919760296748026,0.022208760737931627,5/5,5,STRONG
THIN_ET_DC_RF_Gm_max,TOPSIN_ET_lkg_C450pf,0.4267907192274406,0.0012615859972810828,0.03174237660486351,4/5,4,STRONG
MEASURE_ET_Rcat_cn_3,THIN_ET_lkg_100_at20V,0.43787974127698,0.0012594368531097598,0.021590504175447053,4/5,4,STRONG
MEASURE_ET_DC_RF_S11ang_26GHz_W,THIN_ET_lkg_100_at20V,0.430468046076348,0.0012165352937599972,0.04481531340291376,5/5,5,STRONG
MEASURE_ET_C100CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4492234163230466,0.0012034415705930316,0.020377506728548725,5/5,5,STRONG
MEASURE_ET_DC_RF2_S22ang_26GHz,THIN_ET_lkg_100_at20V,0.4274507397670786,0.0011674840634122764,0.018378277153109593,5/5,5,STRONG
FIC_ET_Probe_Number,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4285484664266061,0.0011545538026569461,0.01215949435521802,5/5,5,STRONG
MEASURE_ET_CapPARCAP_0,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4285561860091757,0.0010962453795475438,0.02395785155349724,5/5,5,STRONG
SIN_GATE_ET_lkg_SY8_80,THIN_ET_Rc_f_hr_23,0.4262580773930016,0.0010676712774561874,0.00911923453095149,5/5,5,STRONG
THIN_ET_Rc_OG142,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4471969201959911,0.001056752682268767,0.008333880044733758,5/5,5,STRONG
MEASURE_ET_C300M1B_0,THIN_ET_lkg_100_at20V,0.4337195884607215,0.0010297063453999999,0.01864230855884808,5/5,5,STRONG
MEASURE_ET_CapPARCAP,TOPSIN_ET_lkg_C450pf,0.4303321720511433,0.0010245434153371169,0.08797324812529896,5/5,5,STRONG
MEASURE_ET_DC_SEC_Vgs_0p1V,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4269374100576049,0.0010058289378138887,0.02517537529655236,5/5,5,STRONG
MEASURE_ET_Rc_cat_ct2_OW_ST,TOPSIN_ET_lkg_C450pf,0.4378219914319166,0.0009914980613031082,0.05327283869219386,4/5,4,STRONG
MEASURE_ET_Rcat_cn_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4394416506783485,0.000983296113411759,0.023282224811089883,5/5,5,STRONG
FIC_ET_Rc_f_tn_23,THIN_ET_lkg_100_at20V,0.440894430939232,0.0009627228120501012,0.009592905862028964,4/5,4,STRONG
THIN_ET_Rcat_cn_1,TOPSIN_ET_lkg_C450pf,0.4326004636287877,0.0009596696864718042,0.02931403898959344,5/5,5,STRONG
ANODE_ET_Rsh_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4365878836574002,0.0009425037002616077,0.040025163304236985,5/5,5,STRONG
TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_lkg_C450pf,0.4254468349911866,0.0009377738947775218,0.020274039077166454,4/5,4,STRONG
THIN_ET_TF_AB_1,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4245503553425033,0.0009376162850094771,0.00970118939961214,5/5,5,STRONG
MEASURE_ET_CapUSV,THIN_ET_lkg_100_at20V,0.4338947721411973,0.0009237593440622393,0.012842570919611376,4/5,4,STRONG
MEASURE_ET_C100CapPARCAP,THIN_ET_lkg_100_at20V,0.4431766498197916,0.0009143685783120899,0.04050222981737803,5/5,5,STRONG
MEASURE_ET_Rc_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4334023677245679,0.0008717540817590424,0.022552608924215865,4/5,4,STRONG
OHMIC_ET_Rsh_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4260372925391465,0.0008550311725288214,0.015397093301684765,5/5,5,STRONG
THIN_ET_Rc_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.446330365225393,0.0008438149769047287,0.014306750380678425,5/5,5,STRONG
MEASURE_ET_DC_Big_S11ang_10GHz,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4306698537355471,0.0008421125416581939,0.012287556707948994,5/5,5,STRONG
THIN_ET_C_AN_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4261234307329765,0.0008175239406196863,0.014544689975437623,5/5,5,STRONG
CATHODE_ET_Rcat_cn_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4581881152589858,0.0007766205262485276,0.010635548188719516,5/5,5,STRONG
MEASURE_ET_C100CapPARCAP,TOPSIN_ET_lkg_CapPARCAP,0.4370880881313556,0.0007760491497222636,0.035940346804221944,4/5,4,STRONG
SIN_GATE_ET_lkg_SY8_80,TFRP_ET_Rc_TF_AB_2,0.4252462665917714,0.000759274699588812,0.009152529934542401,5/5,5,STRONG
MEASURE_ET_Rcat_cn_1_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4480864077802186,0.0007354747817804846,0.032263736439857964,4/5,4,STRONG
MEASURE_ET_Rc_F_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4319656442847876,0.0007123635860321691,0.011773372438644443,5/5,5,STRONG
THIN_ET_Rsh_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4355728298164047,0.0006709928201125391,0.009746559723185205,5/5,5,STRONG
TOPSIN_ET_R_f_hr_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4317630709095444,0.0006669323899273603,0.011366682133838138,4/5,4,STRONG
THIN_ET_lkg_100_at20V,THIN_ET_DC_RF_Vds_max_0p1mA,0.4282537336126751,0.0006414612690952188,0.003310968623560435,5/5,5,STRONG
MEASURE_ET_RF_Modeling_S22dB_10GHz,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4265461280118581,0.000622935611071357,0.006640112533635367,4/5,4,STRONG
TOPSIN_ET_OHMC,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4298819777265426,0.0006061619921487287,0.010234868776459256,4/5,4,STRONG
CATHODE_ET_Rc_cat_ct2_OW_ST,THIN_ET_lkg_100_at20V,0.4280019703643748,0.000591439438734849,0.008951051347143989,4/5,4,STRONG
SIN_GATE_ET_lkg_SY8_80,SIN_GATE_ET_Rc_an_ct2,0.4251974755863128,0.00056841365182757,0.003148048498858166,5/5,5,STRONG
TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_RF_Vg_max_Vd,0.4321732881971932,0.0004334675951412234,0.00455948732465891,5/5,5,STRONG
MESA_ET_Probe_Number,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4268438959296018,0.00040325904417034793,0.0061764310784736525,5/5,5,STRONG
MEASURE_ET_Rc_OG144,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4346978995760586,0.00038258949381560784,0.006917913253592703,5/5,5,STRONG
MEASURE_ET_DC_SEC_X_Vg_at_I2_pos,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4274634877919131,0.0003697230512317199,0.011189765241230604,5/5,5,STRONG
MEASURE_ET_Rc_an_ct2,SIN_GATE_ET_lkg_SY8_80,0.4259655546258442,0.00036951264513517847,0.003784710223155873,4/5,4,STRONG
MEASURE_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,0.4371448862039672,0.0003208621023257204,0.005272532553535242,4/5,4,STRONG
MEASURE_ET_C100C175pf,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.433686917449569,0.00029904720820231534,0.0020448831333512592,5/5,5,STRONG
TOPSIN_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4253051670137698,0.0002925932243472454,0.005349433118754577,5/5,5,STRONG
MEASURE_ET_RF_Modeling_ids_m0p2_W,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4343726766958857,0.0002599394065133486,0.004330818404194095,5/5,5,STRONG
MEASURE_ET_CapPARCAP_0,THIN_ET_lkg_100_at20V,0.4262732221864685,0.0002517974526199002,0.008588274771874169,4/5,4,STRONG
MEASURE_ET_C100CapPARCAP,TOPSIN_ET_lkg_C450pf,0.4378149991376872,0.00025094577704383377,0.009653297931898302,5/5,5,STRONG
TOPSIN_ET_Rc_OG144,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4483523706399195,0.0002441647852932151,0.0012270881522027472,5/5,5,STRONG
MEASURE_ET_DC_SEC_S_Vg_at_I1_neg_SD3p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4313804980930391,0.00020752248750061564,0.0033682592225678727,4/5,4,STRONG
MESA_ET_Probe_Number,TOPSIN_ET_lkg_C450pf,0.4269500251139582,0.00020282228533727794,0.0028788302144579937,4/5,4,STRONG
OHMIC_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.4503242788250304,0.00020210997662841026,0.003032294526324609,4/5,4,STRONG
FIC_ET_DC_RF_Vp_1,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4291668843283597,0.00015959041124746258,0.0027826313007584397,5/5,5,STRONG
TOPSIN_ET_DC_PIV_Drain_Lag_1,BRIDGE_METAL_Height_Final_TOP_metal_thickness,0.4261237700549253,0.00015489713581674238,0.004211485889777845,5/5,5,STRONG
