,0
MEASURE_ET_DC_RF_Max_S11_Mag_L1018,148.7239765280392
MEASURE_ET_USV_Cappf,146.36225080490112
ANODE_ET_Rc_an_ct2,145.2463251259178
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,145.08674747869372
THIN_ET_KLV_F_AB_4u,142.0098388120532
TOPSIN_ET_lkg_C385pf,139.56019793450832
MEASURE_ET_DC_SEC_Vgs_0p1V,138.73459022399038
THIN_ET_Rcat_cn_1_OW_ST,136.80406759865582
TOPSIN_ET_DC_SMALL_Vbgs_0p1,136.17223641835153
FIC_ET_sh_f_tn_23,135.8653309312649
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,135.50797477760352
MEASURE_ET_DC_SEC_S_Ids_max,135.1572071458213
CHRE_Ali_Litho_Channel_to_Ohmic_Alignment,134.7108464986086
FIC_ET_DC_RF_Vbgs1,133.06782033666968
MEASURE_ET_DC_RF2_S12dB_26GHz,132.35244516283274
TOPSIN_ET_lkg_5,131.1556052416563
TOPSIN_ET_lkg_C300pf,129.60793133080006
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,129.2678047788795
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_SD3p5,128.8949803612195
MEASURE_ET_DC_RF_S11dB_26GHz_W,128.71194971259683
THIN_ET_C20_0,126.5267804285977
FIC_ET_DC_PIV_Drain_Lag_1,123.14600372314453
FIC_ET_C200S1,122.62241736333817
BRGM_ET_C300_0,121.07821126608178
TOPSIN_ET_Load_Pull_P.A.E_Last,119.79382350295782
TOPSIN_ET_DC_RF_Vt_gd,119.35677181300707
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg2_FPSD3p2,118.03733296808787
MEASURE_ET_C_CAT_2,116.88185739517212
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,116.85680238506757
MEASURE_ET_C100C300pf,116.72594439005479
MEASURE_ET_i5021_1,116.52623576670885
MEASURE_ET_R_f_tn_1,112.40036521130241
MEASURE_ET_DC_RF_Vt_gd,111.96536394953728
FIC_ET_DC_PIV_Ids1_QP3,110.94731589592993
MEASURE_ET_DC_SMALL_Vg_gm_max,109.16100311279297
TOPSIN_ET_Load_Pull_Pin_Last,108.70182320219465
TOPSIN_ET_Load_Pull_PhL_meas,108.26395835797302
TOPSIN_ET_DC_SMALL_Vt_gs,106.81313935667276
MEASURE_ET_DC_RF_S11ang_26GHz_W,106.19098056852818
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_second_SD3p5,106.17083903960884
THIN_ET_sh_f_hr_23,105.53279629349709
MEASURE_ET_DC_RF2_S11ang_26GHz,104.77046762267128
MEASURE_ET_DC_RF_Max_S11_Mag_L2180,103.67620182037354
THIN_ET_Ran_con_1_OW_CR,102.30423809424974
MEASURE_ET_Rc_an_ct2,100.49748831987381
MEASURE_ET_DC_RF_Vbgs_0p1,97.20417299121618
MEASURE_ET_DC_SEC_X_Ids_max_FPSD3p2,97.05629673134536
MEASURE_ET_DC_Big_S22ang_10GHz,96.38780212402344
TOPSIN_ET_Load_Pull_GL_meas,94.83760070800781
MEASURE_ET_DC_Diode_S11_dB_rev,93.60798787511885
MEASURE_ET_DC_RF_S21ang_26GHz_W,92.90995501994621
MEASURE_ET_DC_RF_Vbgs_0p01,91.39855246990919
MEASURE_ET_DC_SEC_S_Vg_at_I3_pos_FPSD3p2,90.17472791671753
MEASURE_ET_DC_SEC_Ids_max_ON,89.92863027472049
TOPSIN_ET_DC_RF_Vg_max_Vd,89.32994252443314
MEASURE_ET_C300FB_0,89.1739359125495
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,88.78933170635719
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_pos_SD3p5,86.6843418130884
FIC_ET_DC_RF_Vbin_gd,86.20505406474695
MEASURE_ET_lkg_70_at20V,85.17210783530027
MEASURE_ET_Cap3pf_0,84.17135162558407
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_second,83.31500244140625
MEASURE_ET_C300FB,82.8636335413903
MEASURE_ET_DC_RF_CF_S11_Ph_L1018,82.59508526325226
MaskSetName_MS_D,82.25609612464905
ANODE_ET_Ran_con_1,81.94291731715202
FIC_ET_DC_RF_Vbgd_0p1,81.17658257484436
MESA_Height_Mesa_Height,80.96798819117248
TOPSIN_ET_Load_Pull_ID_comp_Last_mA,80.70902641583234
THIN_ET_Rcat_cn_1,80.22346876561642
FIC_ET_DC_RF_Vbgs_0p1,79.4482769081369
FIC_ET_Rc_OG142,79.01349925994873
MEASURE_ET_DC_Big_Vg_optt1,78.18158126925118
MEASURE_ET_DC_SEC_Vds_min_ON,77.72857289016247
MEASURE_ET_DC_PIV_Ids0_QP1,76.15818667411804
TOPSIN_ET_Gate_res,75.76725737191737
MEASURE_ET_DC_Big_MAG_10GHz,75.25794090284035
MEASURE_ET_DC_SEC_X_Ids_max,74.9848515316844
THIN_ET_DC_RF_Vbin_gs,71.99410883104429
VIYield,71.53285306692123
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_neg_SD3p5,71.04952006414533
THIN_ET_Rc_TF_AB_2,70.79692481458187
SIN_ET_DC_RF_Vp_1,70.60820007324219
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_SD3p5,69.9439268168062
MEASURE_ET_DC_RF_S12dB_10GHz,69.85411153757013
MEASURE_ET_RF_Modeling_S21_19G_Before,69.65650177001953
MEASURE_ET_DC_RF_S11dB_26GHz,69.55298795597628
MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg,69.1458745021373
MEASURE_ET_DC_SEC_X_Vg_at_I1_neg_SD3p5,69.01211616583169
MEASURE_ET_DC_RF_CF_S11_Ph_L2180,67.15376717830077
THIN_ET_DC_RF_Vds_max_0p1mA,67.14275724068284
TOPSIN_ET_DC_PIV_Gate_Lag_1,65.7979965209961
MEASURE_ET_DC_RF_CF_S21_Ph_L1018,65.62382122501731
MEASURE_ET_DC_RF_Min_S21_Ph_L1002,65.22313027118798
MEASURE_ET_DC_RF_CF_S12_Ph_L1018,64.13331847358495
MEASURE_ET_DC_RF_S22dB_26GHz,60.950142906047404
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_pos_SD3p5,60.4901906773448
MEASURE_ET_DC_RF_Id_Vbon_min,60.020361579954624
TOPSIN_ET_C300_0,59.04971359204501
TOPSIN_ET_DC_SMALL_Vds_max_0p1,58.117401123046875
MEASURE_ET_Cap_C300FM1,58.07895231200382
TOPSIN_ET_Load_Pull_Gain_comp_Last,58.06542137078941
MEASURE_ET_DC_RF_Max_S11_Ph_L1002,56.19743654131889
FIC_ET_Probe_Number,56.19556474452838
THIN_ET_Rc_OG142,56.11785777658224
MEASURE_ET_DC_SEC_S_Vg_at_I1_neg_FPSD3p2,56.00980763649568
MEASURE_ET_DC_Big_S11dB_10GHz,55.882173207821324
TOPSIN_ET_C100CapPARCAP,54.63023439049721
MEASURE_ET_RF_Modeling_Ft,53.41462294384837
MEASURE_ET_RF_Modeling_R_Gs,52.700855039060116
TOPSIN_ET_lkg_Cap_USV,51.82602024078369
MEASURE_ET_C20_0,51.72183529054746
FIC_ET_C200_0S1,51.55642252974212
MaskSetName_MS_A,51.124720454216
MEASURE_ET_RF_Modeling_Mag_i,51.008859591791406
SIN_ET_DC_RF_Vbgs1,50.97576604411006
MEASURE_ET_RF_Modeling_S22dB_10GHz,50.52863945811987
MEASURE_ET_C100C500pf,50.42970366682857
MEASURE_ET_DC_SEC_S_Vg_at_I2_neg_SD3p5,49.95706848264672
MEASURE_ET_DC_RD_S11ang_18GHz,49.82341936486773
MEASURE_ET_LT_SEC_Id_min_mA_mm,49.23265990894288
MEASURE_ET_DC_RF_S12ang_10GHz,48.81387891503982
TOPSIN_ET_DC_RF_Vp_01,48.57842229353264
OHMIC_ET_R114,48.30414541508071
MEASURE_ET_DC_RF_Min_S21_Ph_L1018,47.71928364876658
MEASURE_ET_Vbkdn_Cap100,47.68422439577989
FIC_ET_G_per_6K,47.44270422914997
TOPSIN_ET_Load_Pull_IG_comp_Last_uA,46.38487387448549
MEASURE_ET_Cap_C300,45.49616191163659
TOPSIN_ET_DC_RF_Vbin_gs,45.43553157360293
MEASURE_ET_lkg_PAD_10,45.11029815673828
MEASURE_ET_DC_RD_K,44.093558963388205
OHMIC_ET_sh_GA142,43.73185773962177
TOPSIN_ET_Rc_f_hr_23,43.200469970703125
MEASURE_ET_DC_RF_MAG_26GHz,42.75738770747557
MEASURE_ET_RF_Modeling_Ls,42.688545271521434
MEASURE_ET_DC_RF_CF_S21_Mag_L1002,42.611537565942854
OHMIC_ET_OHMC,41.194378587417305
CATHODE_ET_Rcat_cn_1,40.74828827381134
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,40.4427048638463
MEASURE_ET_RF_Modeling_Vth,40.266039066482335
MEASURE_ET_DC_SMALL_Vboff,39.439968563616276
MEASURE_ET_RF_Modeling_S12ang_10GHz,39.26253499556333
MEASURE_ET_lkg_C500pf,39.20067210495472
TOPSIN_ET_DC_SMALL_Vds_max,38.732591681182384
TOPSIN_ET_C100C500pf,38.13674911297858
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_second_FPSD3p2,38.11249156855047
MEASURE_ET_RF_Modeling_Cgd_err,37.83194378367625
TOPSIN_ET_CapPARCAP_0,37.76922504045069
MEASURE_ET_RF_Modeling_S22ang_10GHz,37.180977895855904
MEASURE_ET_DC_SEC_X_Vg_at_I2_neg,36.552319939946756
MEASURE_ET_DC_SEC_X_Vboff_Id,36.12155276653357
SIN_ET_DC_RF_Vds_max_0p1,35.73705792054534
MEASURE_ET_DC_Big_S21ang_10GHz,35.59296470787376
MEASURE_ET_DC_SEC_Ids_min_ON,35.20871006697416
MEASURE_ET_DC_SMALL_Vt_gs,34.71935169631615
MEASURE_ET_lkg_5,34.616600036621094
TOPSIN_ET_C100Cap3pf,34.464464200660586
SIN_GATE_ET_RGAN2,33.98740030650515
MEASURE_ET_Rc_cat_ct2_OW_ST,33.77803715295158
GATE2_ET_Ids2_Gate_recess_current,33.503588360967115
MEASURE_ET_C385pf_0,33.08710802230053
SIN_ET_DC_RF_Vbgd_0p1,32.262399673461914
MEASURE_ET_DC_RF_S12ang_26GHz_W,31.40410041809082
MEASURE_ET_DC_Diode_Vbpin,30.920364705380052
ANODE_ET_Ran_con_3,30.584248154889792
SIN_ET_DC_RF_Vg_optt3,30.38038888014853
MEASURE_ET_DC_RF_CF_S12_Ph_L1002,30.320925218984485
FIC_ET_DC_RF_Vg_optt,30.308954956009984
MEASURE_ET_Load_Pull_Gss,30.219281759113073
MEASURE_ET_RF_Modeling_ids_m0p2_W,29.801153482869267
MEASURE_ET_Rc_OG142_GN,29.757979311048985
THIN_ET_sh_GA142,29.522305660881102
MEASURE_ET_LT_SEC_Vbgd1_Vd8,29.195006107445806
MEASURE_ET_Gm_m2,28.59027099609375
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,28.47289624111727
TOPSIN_ET_lkg_CapFICM1,28.230600357055664
FIN_FIN_Alignment_FIN_to_ohmic_alignment,28.154830136802047
TOPSIN_ET_Cap1pf_0,28.080039739608765
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1_FPSD3p2,28.07962279394269
MEASURE_ET_DC_SEC_X_Vg_at_I2_pos,28.067070484161377
SIN_GATE_ET_Rc_an_ct2,28.046378333121538
MEASURE_ET_C385pf,27.904982971958816
MEASURE_ET_i5021_3,27.618810072541237
MEASURE_ET_C_AN_2_OW_CR,26.622124046087265
FIC_ET_DC_RF_Vbgd1,26.564389944076538
