parameter_A,parameter_B,parameter_C,channels,n_channels
MEASURE_ET_lkg_Cap1,SIN_ET_lkg_SY8_80,TOPSIN_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,SIN_ET_lkg_SY8_80,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,SIN_ET_lkg_SY8_80,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,THIN_ET_TF_AB_2,TOPSIN_ET_C100Cap1pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,THIN_ET_TF_AB_2,TOPSIN_ET_Cap3pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,THIN_ET_TF_AB_2,TOPSIN_ET_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,THIN_ET_TF_AB_2,TOPSIN_ET_Cap_USV,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,THIN_ET_TF_AB_2,TOPSIN_ET_Gm_max,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_C300pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_Cap3pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_Cap_USV,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_Gm_max,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_lkg_C300pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_C100CapUSV,TOPSIN_ET_Cap_USV,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_C100CapUSV,TOPSIN_ET_Gm_max,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_C300pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap3pf,TOPSIN_ET_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap3pf,TOPSIN_ET_Cap_USV,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap3pf,TOPSIN_ET_Gm_max,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap3pf,TOPSIN_ET_lkg_C300pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap3pf,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap3pf,TOPSIN_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap3pf,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap3pf,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_CapFICM1,TOPSIN_ET_Cap_USV,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_CapFICM1,TOPSIN_ET_Gm_max,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_C300pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap_USV,TOPSIN_ET_DC_SMALL_Vp_1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap_USV,TOPSIN_ET_Gm_max,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap_USV,TOPSIN_ET_lkg_C300pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap_USV,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap_USV,TOPSIN_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap_USV,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap_USV,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_DC_SMALL_Vp_1,TOPSIN_ET_Gm_max,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_DC_SMALL_Vp_1,TOPSIN_ET_lkg_C300pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_DC_SMALL_Vp_1,TOPSIN_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Gm_max,TOPSIN_ET_lkg_C300pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Gm_max,TOPSIN_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_lkg_C300pf,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_lkg_C300pf,TOPSIN_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_lkg_C300pf,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_lkg_C450pf,TOPSIN_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_lkg_C450pf,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_lkg_Cap1,TOPSIN_ET_lkg_Cap1,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
FIC_ET_DC_PIV_Gate_Lag_1,FIC_ET_lkg_SY8_80,THIN_ET_Cap_C300,2_shared_node_chaining,1
FIC_ET_DC_PIV_Gate_Lag_1,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_Cap_C300,2_shared_node_chaining,1
FIC_ET_DC_PIV_Gate_Lag_1,MEASURE_ET_Rc_OG142_GN,THIN_ET_Cap_C300,2_shared_node_chaining,1
FIC_ET_DC_PIV_Gate_Lag_1,MEASURE_ET_Rc_OG144,THIN_ET_Cap_C300,2_shared_node_chaining,1
FIC_ET_DC_PIV_Gate_Lag_1,MEASURE_ET_Rc_f_hr_23,THIN_ET_Cap_C300,2_shared_node_chaining,1
FIC_ET_DC_PIV_Gate_Lag_1,THIN_ET_Cap_C300,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
FIC_ET_DC_PIV_Gate_Lag_1,THIN_ET_Cap_C300,THIN_ET_lkg_5,2_shared_node_chaining,1
FIC_ET_DC_PIV_Gate_Lag_1,THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs1,2_shared_node_chaining,1
FIC_ET_DC_PIV_Gate_Lag_1,THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
FIC_ET_DC_PIV_Gate_Lag_1,THIN_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_lkg_SY8_80,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_Cap_C300,2_shared_node_chaining,1
FIC_ET_lkg_SY8_80,MEASURE_ET_Rc_OG142_GN,THIN_ET_Cap_C300,2_shared_node_chaining,1
FIC_ET_lkg_SY8_80,MEASURE_ET_Rc_OG144,THIN_ET_Cap_C300,2_shared_node_chaining,1
FIC_ET_lkg_SY8_80,MEASURE_ET_Rc_f_hr_23,THIN_ET_Cap_C300,2_shared_node_chaining,1
FIC_ET_lkg_SY8_80,THIN_ET_Cap_C300,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
FIC_ET_lkg_SY8_80,THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs1,2_shared_node_chaining,1
FIC_ET_lkg_SY8_80,THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
FIC_ET_lkg_SY8_80,THIN_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_Rc_OG142_GN,THIN_ET_Cap_C300,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_Rc_OG144,THIN_ET_Cap_C300,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_Rc_f_hr_23,THIN_ET_Cap_C300,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_Cap_C300,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_Cap_C300,THIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_Rc_OG142_GN,MEASURE_ET_Rc_OG144,THIN_ET_Cap_C300,2_shared_node_chaining,1
MEASURE_ET_Rc_OG142_GN,MEASURE_ET_Rc_f_hr_23,THIN_ET_Cap_C300,2_shared_node_chaining,1
MEASURE_ET_Rc_OG142_GN,THIN_ET_Cap_C300,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_Rc_OG142_GN,THIN_ET_Cap_C300,THIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_Rc_OG142_GN,THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_Rc_OG142_GN,THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
MEASURE_ET_Rc_OG144,MEASURE_ET_Rc_f_hr_23,THIN_ET_Cap_C300,2_shared_node_chaining,1
MEASURE_ET_Rc_OG144,THIN_ET_Cap_C300,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_Rc_OG144,THIN_ET_Cap_C300,THIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_Rc_OG144,THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_Rc_OG144,THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
MEASURE_ET_Rc_f_hr_23,THIN_ET_Cap_C300,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_Rc_f_hr_23,THIN_ET_Cap_C300,THIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_Rc_f_hr_23,THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_Rc_f_hr_23,THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
MEASURE_ET_Rc_f_hr_23,THIN_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
THIN_ET_Cap_C300,THIN_ET_Rc_TF_AB_2,THIN_ET_lkg_5,2_shared_node_chaining,1
THIN_ET_Cap_C300,THIN_ET_Rc_TF_AB_2,TOPSIN_ET_DC_RF_Vbgs1,2_shared_node_chaining,1
THIN_ET_Cap_C300,THIN_ET_Rc_TF_AB_2,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
THIN_ET_Cap_C300,THIN_ET_lkg_5,TOPSIN_ET_DC_RF_Vbgs1,2_shared_node_chaining,1
THIN_ET_Cap_C300,THIN_ET_lkg_5,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs1,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs1,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
THIN_ET_Cap_C300,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,FIC_ET_DC_RF_Vg_gm_max,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_C100Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_C300FB,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_C300M1B,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_C300M1B_0,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Cap2pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Cap2pf_0,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Cap_C300M1B,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_RF_Modeling_Mag_d,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_RF_Modeling_S22ang_10GHz,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_USV_Cappf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Vbkdn_C300pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Vbkdn_Cap100_Long,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_C200,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_DC_RF_Vbin_gs,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_C100C500pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_C100Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_C100CapUSV,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_Cap_USV,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,MEASURE_ET_C100Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,MEASURE_ET_C300FB,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,MEASURE_ET_C300M1B,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,MEASURE_ET_C300M1B_0,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,MEASURE_ET_Cap2pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,MEASURE_ET_Cap2pf_0,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,MEASURE_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,MEASURE_ET_Cap_C300M1B,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,MEASURE_ET_RF_Modeling_Mag_d,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,MEASURE_ET_RF_Modeling_S22ang_10GHz,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,MEASURE_ET_USV_Cappf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,MEASURE_ET_Vbkdn_C300pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,MEASURE_ET_Vbkdn_Cap100_Long,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,THIN_ET_C200,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,THIN_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,THIN_ET_DC_RF_Vbin_gs,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,TOPSIN_ET_C100C500pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,TOPSIN_ET_C100Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,TOPSIN_ET_C100CapUSV,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,TOPSIN_ET_Cap1pf_0,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,TOPSIN_ET_Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,TOPSIN_ET_CapFICM1,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_gm_max,TOPSIN_ET_Cap_USV,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,MEASURE_ET_C300FB,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,MEASURE_ET_C300M1B,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,MEASURE_ET_C300M1B_0,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,MEASURE_ET_Cap2pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,MEASURE_ET_Cap2pf_0,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,MEASURE_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,MEASURE_ET_Cap_C300M1B,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,MEASURE_ET_RF_Modeling_Mag_d,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,MEASURE_ET_RF_Modeling_S22ang_10GHz,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,MEASURE_ET_USV_Cappf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,MEASURE_ET_Vbkdn_C300pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,MEASURE_ET_Vbkdn_Cap100_Long,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,THIN_ET_C200,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,THIN_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,THIN_ET_DC_RF_Vbin_gs,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,TOPSIN_ET_C100C500pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,TOPSIN_ET_C100Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,TOPSIN_ET_C100CapUSV,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,TOPSIN_ET_Cap1pf_0,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,TOPSIN_ET_Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,TOPSIN_ET_CapFICM1,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C100Cap3pf,TOPSIN_ET_Cap_USV,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_C300M1B,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_C300M1B_0,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Cap2pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Cap2pf_0,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Cap_C300M1B,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_RF_Modeling_Mag_d,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_RF_Modeling_S22ang_10GHz,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_USV_Cappf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Vbkdn_C300pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Vbkdn_Cap100_Long,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_C200,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_DC_RF_Vbin_gs,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_C100C500pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_C100Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_C100CapUSV,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_Cap1pf_0,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_CapFICM1,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
