column,shap_importance,shap_rank,gain_importance,gain_rank,permutation_importance,perm_rank,n_features_total,pearson_corr_with_target
LineYield,0.0005582337919881737,534,5.291110783815384,430,0.00016216684258396063,502,1429,0.004010838646490325
BackEndYield,0.00884558610042386,70,331.53957380354404,45,0.008427959932288783,52,1429,0.004456925358159831
VIYield,0.0036733634942031266,193,71.53285306692123,185,0.002198342456983593,165,1429,0.12204838487227959
LTYield,0.0010353477420082858,427,6.704919815063477,411,0.0006052191800377804,338,1429,0.21550175890176823
