raw_csv_parameter_name,spline_relationship_class,spline_evidence_label,spline_nonlinear_advantage,v1_relationship_type,v1_evidence_label,v2_shape,v2_evidence_label,vs_v1_lightgbm,vs_v2_binned
MEASURE_ET_lkg_C300M1B,COMPLEX_NONLINEAR,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
SIN_ET_DC_RF_Vbin_gs,SATURATION,STRONG,True,direct,MODERATE,complex_nonmonotonic,STRONG,BOTH_FOUND_DIFFERENT_SHAPE,BOTH_FOUND_DIFFERENT_SHAPE
SIN_ET_lkg_SY8_80,THRESHOLD,STRONG,False,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_C100Cap2pf,PROCESS_WINDOW,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,WEAK,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,THRESHOLD,STRONG,True,threshold,INCONCLUSIVE,complex_nonmonotonic,WEAK,SPLINE_ONLY,SPLINE_ONLY
TOPSIN_ET_DC_PIV_Ids1_QP1,COMPLEX_NONLINEAR,STRONG,False,,not_screened_by_v1,complex_nonmonotonic,STRONG,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_AGREE_SHAPE
TOPSIN_ET_lkg_C300pf,THRESHOLD,STRONG,False,,not_screened_by_v1,monotonic,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
TOPSIN_ET_lkg_Cap_USV,THRESHOLD,STRONG,False,,not_screened_by_v1,complex_nonmonotonic,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
TOPSIN_ET_lkg_SY8_80,THRESHOLD,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_lkg_Cap_USV,THRESHOLD,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
THIN_ET_lkg_5,THRESHOLD,STRONG,False,,not_screened_by_v1,inverted_U,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
MEASURE_ET_lkg_50,SATURATION,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,STRONG,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
TOPSIN_ET_Cap_C300,COMPLEX_NONLINEAR,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,WEAK,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,SATURATION,STRONG,True,flat_no_clear_effect,INCONCLUSIVE,complex_nonmonotonic,WEAK,SPLINE_ONLY,SPLINE_ONLY
TOPSIN_ET_DC_RF_Vbin_gs,SATURATION,STRONG,False,,not_screened_by_v1,complex_nonmonotonic,WEAK,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_DC_Diode_D_leak_65V,THRESHOLD,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
THIN_ET_C300_0,COMPLEX_NONLINEAR,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,WEAK,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
SIN_ET_DC_RF_Vg_max_Vd_0p1,SATURATION,STRONG,True,,not_screened_by_v1,threshold,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_AGREE_SHAPE
MEASURE_ET_LT_SEC_Ileak_m10V_mA_mm,THRESHOLD,STRONG,False,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
EBCR2_CD_Gate_Leg_Length,COMPLEX_NONLINEAR,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
TOPSIN_ET_Rc_f_tn_23,SATURATION,STRONG,True,flat_no_clear_effect,INCONCLUSIVE,complex_nonmonotonic,MODERATE,SPLINE_ONLY,BOTH_FOUND_DIFFERENT_SHAPE
TOPSIN_ET_Cap3pf_0,COMPLEX_NONLINEAR,STRONG,True,U_shaped_process_window,WEAK,complex_nonmonotonic,WEAK,SPLINE_ONLY,SPLINE_ONLY
MEASURE_ET_lkg_5,THRESHOLD,STRONG,False,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
