,fold_0,fold_1,fold_2,fold_3,fold_4
CATHODE_ET_Rc_cat_ct2_OW_ST,0.01140381654863266,0.00045521159639423496,0.00663290643953112,0.002612116959679035,0.000753859521582861
CATHODE_ET_Rcat_cn_1,0.0010906715887107022,0.0009466732131984955,9.808568906392129e-05,0.0008550266397664125,0.0
CATHODE_ET_Rcat_cn_1_OW_ST,0.005628645121953713,0.004240132620540759,0.000425858719047287,0.001992048113073529,0.009440530560665279
CATHODE_ET_Rcat_cn_2,0.014973717743836764,0.0811264943937808,0.02847191323980255,0.05779873566853091,0.030731363574576894
CATHODE_ET_Rcat_cn_2_OW_ST,0.0002596177678090717,6.0540697054760605e-05,0.0004306239962766058,0.0,0.005327247372916077
CATHODE_ET_Rcat_cn_3,0.004649717997037147,0.0011769529269644525,0.0,0.002192602110494851,0.0004736404906173794
CATHODE_ET_Rcat_cn_3_OW_ST,0.00021707365066324212,0.0,0.00032527754896330364,1.731146498149708e-05,0.002733494482472727
CATHODE_ET_Rsh_cat_c2,0.00011742357668653447,1.8385852555570233e-05,0.0005914501795461165,0.0002630976564914398,6.965974044090114e-05
CATHODE_ET_Rsh_cat_c2_OW_ST,0.001004291696541859,8.201780040787268e-05,0.001763239533616726,5.757336318256555e-05,0.0005297322392449745
CHRE_Ali_Litho_Channel_to_Ohmic_Alignment,0.000355088743992482,0.0016823427995244272,0.0017339924062656695,0.0019673554738458914,0.0006096845171524104
CHRE_CD_2_Channel_recess_CD_Etch,0.00014365405792006577,0.00029558435646440665,7.4595831282668e-05,0.0005712591100080362,0.00034658286788640647
CHRE_CD_Channel_recess_CD,0.00039719826438739677,0.0004062716241105781,8.688478679491668e-05,0.00047523311376326116,4.8222538709574406e-05
CHRE_ET_Ids_Channel_recess_current,9.997838616346435e-05,6.233139706396386e-05,3.0818667865107065e-05,0.0005540277593350881,0.00016859936883168803
Customer_Customer_A,0.0,0.0,0.0,0.0,0.0
Customer_Customer_B,0.0,0.0,0.002206554795423284,0.0,0.001893944856290543
Customer_Internal,0.0,0.0,0.0,0.0,0.0
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,0.0010401136739429432,0.0009929797869124757,0.0003456603902653133,0.03368347365703604,0.0005281820210022412
EBCR2_CD_2_EBCR_cd_etch,0.0001468911638295088,0.00011449108947054276,1.4306313398197422e-05,0.00015228461522929376,0.00043204838353871867
EBCR2_CD_Gate_Leg_Length,1.882524241312595e-05,0.0007657685093055201,0.00011614876475139307,0.0002779130773493986,4.693469855751927e-06
EBCR2_ET_Ids_EBCR_recess_current,0.004829540148909023,0.00013940366393873162,0.0014196169738228226,0.001474041594598047,0.002984994137215139
FIC_ET_Bad_Gates,0.005076475260101103,0.004577146603178388,0.006383440934328066,0.007227222515105614,0.004302918414311388
FIC_ET_C100S1,0.0,0.00047858512962977264,0.000207127078355132,0.00033672862550219464,0.0
FIC_ET_C200S1,0.0013301964259022836,0.0005073867038638662,0.0009834496083640275,0.0027995279712333845,0.001313602171581284
FIC_ET_C200_0S1,0.001760750179362706,0.0006032738637290039,0.00019222856900837795,0.0006103063475117534,7.02803531155434e-05
FIC_ET_DC_PIV_Drain_Lag_0,2.0394690102278435e-05,0.0,0.00038558471346136,0.0,9.34466138822253e-05
