parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,evidence_label,reason
MEASURE_ET_lkg_CapFICM1,OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1552,2.0296,5.831,0.0753,0.1839,0.1085,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1085."
FIC_ET_DC_PIV_Gate_Lag_0,THIN_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_C100CapPARCAP,1_triangle+2_shared_node_chaining,2.0812,1.9436,6.616,0.1428,0.249,0.1062,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1062."
MEASURE_ET_lkg_5,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_5,2_shared_node_chaining,2.1584,2.0416,5.41,0.0735,0.1743,0.1008,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.1008."
OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1413,2.0247,5.443,0.09,0.1887,0.0987,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0987."
MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1614,2.0473,5.28,0.0724,0.1701,0.0977,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0977."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1496,2.0332,5.415,0.0865,0.1822,0.0957,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0957."
MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_ET_DC_RF_Gm_0,THIN_ET_Rcat_cn_1,2_shared_node_chaining,2.1778,2.0647,5.194,0.0669,0.1611,0.0942,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0942."
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_DC_RF_Gm_max,THIN_ET_Rcat_cn_1,2_shared_node_chaining,2.1605,2.0471,5.249,0.0826,0.1764,0.0938,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0938."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1593,2.0499,5.063,0.0774,0.1709,0.0935,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0935."
FIC_ET_lkg_5,OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1487,2.0405,5.034,0.083,0.1744,0.0914,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0914."
OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_Cap3,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1435,2.0388,4.882,0.0875,0.178,0.0904,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0904."
MEASURE_ET_R414,MEASURE_ET_RF_Modeling_Ft,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,2.0362,1.9156,5.924,0.1671,0.2573,0.0902,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0902."
FIC_ET_Rc_f_hr_23,MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_RF_Modeling_S22ang_10GHz,3_edge_plus_high_or_medium_conditional,2.2192,2.1072,5.048,0.0269,0.1167,0.0898,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0898."
FIC_ET_lkg_SY07_10,MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,2_shared_node_chaining,2.1711,2.0593,5.149,0.0685,0.1578,0.0893,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0893."
MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap3,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1644,2.0571,4.957,0.0745,0.1635,0.089,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0890."
