fold,rmse,mae,r2
0,0.24917919183355836,0.14024611483571475,0.9875628007001837
1,0.23054928437927646,0.15033310864980318,0.9920450398367788
2,0.20455622738993912,0.13549149154242296,0.9895704390484452
3,0.17268899055913214,0.10574084043055858,0.9951164931929519
4,0.1913797407547737,0.13317766926982763,0.9905471520260674
