parameter_A,parameter_B,channels,n_channels
TOPSIN_ET_C100Cap1pf,MEASURE_ET_lkg_50_at20V,B_existing_shap_interaction+D_tree_path_cooccurrence,2
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_RF2_S22dB_26GHz,B_existing_shap_interaction+C_existing_h_statistic,2
TOPSIN_ET_C100Cap1pf,FIC_ET_G_per_25,B_existing_shap_interaction+C_existing_h_statistic,2
MEASURE_ET_Rc_an_ct2_OW_CR,SIN_ET_DC_RF_Vbin_gs,B_existing_shap_interaction+C_existing_h_statistic,2
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,TOPSIN_ET_lkg_5,B_existing_shap_interaction+C_existing_h_statistic,2
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,MEASURE_ET_ABVIETCH,B_existing_shap_interaction+C_existing_h_statistic,2
TOPSIN_ET_lkg_C450pf,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,B_existing_shap_interaction+C_existing_h_statistic,2
MEASURE_ET_DC_Big_S12dB_10GHz,MEASURE_ET_ABVIETCH,B_existing_shap_interaction+C_existing_h_statistic,2
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_Stress_Id_stress_before,B_existing_shap_interaction+C_existing_h_statistic,2
TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_R_f_hr_3,B_existing_shap_interaction+C_existing_h_statistic,2
TOPSIN_ET_lkg_Cap3,MEASURE_ET_C300FB_0,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2
THIN_ET_lkg_100_at20V,MEASURE_ET_lkg_10,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2
SIN_GATE_ET_lkg_SY8_80,MEASURE_ET_DC_RF_S11ang_10GHz,B_existing_shap_interaction+C_existing_h_statistic,2
TOPSIN_ET_Cap1pf,THIN_ET_Rc_TF_AB_2,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2
THIN_ET_lkg_100_at20V,THIN_ET_Rcat_cn_1,B_existing_shap_interaction+C_existing_h_statistic,2
THIN_ET_lkg_100_at20V,MaskSetSupplyChipsCount,B_existing_shap_interaction+C_existing_h_statistic,2
THIN_ET_lkg_100_at20V,THIN_ET_DC_RF_Vg_optt3,B_existing_shap_interaction+C_existing_h_statistic,2
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,MEASURE_ET_ABVIETCH,B_existing_shap_interaction+C_existing_h_statistic,2
TOPSIN_ET_C100Cap1pf,ANODE_ET_Rc_an_ct2_OW_CR,B_existing_shap_interaction+D_tree_path_cooccurrence,2
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_Stress_Id_stress_before,B_existing_shap_interaction+D_tree_path_cooccurrence,2
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_DC_RF2_MAG_26GHz,B_existing_shap_interaction+D_tree_path_cooccurrence,2
TOPSIN_ET_DC_SMALL_Vdg_max,TOPSIN_ET_DC_PIV_Drain_Lag_1,B_existing_shap_interaction+C_existing_h_statistic,2
MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,B_existing_shap_interaction+C_existing_h_statistic,2
FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,B_existing_shap_interaction+C_existing_h_statistic,2
MaskSetSupplyChipsCount,MEASURE_ET_DC_RF_K_W,B_existing_shap_interaction+C_existing_h_statistic,2
TOPSIN_ET_lkg_C450pf,THIN_ET_Rcat_cn_3,B_existing_shap_interaction+C_existing_h_statistic,2
