parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,evidence_label,reason
FIC_ET_DC_RF_Vg_max_Vd,MEASURE_ET_Rc_an_ct2,TOPSIN_ET_C100Cap1pf,2_shared_node_chaining,2.0252,2.0012,1.188,0.1896,0.2061,0.0165,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0165 -- majority but not unanimous.
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_Rc_an_ct2,TOPSIN_ET_CapFICM1_0,2_shared_node_chaining,2.0411,2.0246,0.806,0.1674,0.1839,0.0165,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0165 -- majority but not unanimous.
MEASURE_ET_lkg_70_at20V,SIN_ET_lkg_SY07_10,TOPSIN_ET_CapFICM1_0,2_shared_node_chaining,2.0926,2.0756,0.812,0.1311,0.1476,0.0165,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0165 -- majority but not unanimous.
MEASURE_ET_C200,SIN_Thickness_SiN_Thickness,THIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,2.1517,2.1353,0.761,0.0873,0.1037,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
ANODE_ET_Ran_con_1,MEASURE_ET_lkg_5,MEASURE_ET_lkg_C300pf,2_shared_node_chaining,2.1507,2.1327,0.836,0.0867,0.1032,0.0165,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0165 -- majority but not unanimous.
FIC_ET_DC_RF_Vbgs1,THIN_ET_DC_RF_Vg_optt3,THIN_ET_lkg_100_at20V,2_shared_node_chaining,2.0564,2.0347,1.054,0.1634,0.18,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
MEASURE_ET_C100USV_Cappf,MEASURE_ET_lkg_C300FM1,SIN_ET_lkg_SY07_10,2_shared_node_chaining,2.0508,2.0318,0.931,0.1706,0.1871,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
MEASURE_ET_lkg_C300FM1,SIN_ET_DC_RF_Vbin_gs,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,2.1262,2.1069,0.908,0.1096,0.126,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
SIN_GATE_ET_lkg_5,THIN_ET_lkg_PAD_10,TOPSIN_ET_CapFICM1_0,2_shared_node_chaining,2.1023,2.0853,0.804,0.1248,0.1413,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
MEASURE_ET_Vbkdn_Cap100,MEASURE_ET_lkg_50,TOPSIN_ET_DC_RF_Vg_gm_max,2_shared_node_chaining,2.0421,2.023,0.936,0.1762,0.1927,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,THIN_ET_lkg_50_at20V,TOPSIN_ET_lkg_Cap1,2_shared_node_chaining,2.1722,2.1496,1.04,0.0685,0.085,0.0165,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0165 -- majority but not unanimous.
