parameter_A,parameter_B,parameter_C,contrast_3way,fold_sign_reproducibility,high_yield_joint_condition,low_yield_joint_condition,confidence
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_LT_SEC_Vbgd1_Vd7,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",STRONG
FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_Vp_1_W,MEASURE_ET_LT_SEC_Vbgd1_Vd7,0.0,4/5,"FIC_ET_R_f_tn_2=high, MEASURE_ET_DC_RF_Vp_1_W=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low","FIC_ET_R_f_tn_2=low, MEASURE_ET_DC_RF_Vp_1_W=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high",STRONG
TFRP_ET_Rc_TF_AB_2,THIN_ET_TF_AB_1,TOPSIN_ET_DC_RF_Vp_01,0.0007,3/5,"TFRP_ET_Rc_TF_AB_2=low, THIN_ET_TF_AB_1=high, TOPSIN_ET_DC_RF_Vp_01=high","TFRP_ET_Rc_TF_AB_2=high, THIN_ET_TF_AB_1=low, TOPSIN_ET_DC_RF_Vp_01=low",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_lkg_50_at20V,0.0006,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, MEASURE_ET_lkg_50_at20V=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, MEASURE_ET_lkg_50_at20V=high",MODERATE
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_Vp_1_W,OHMIC_ET_Rsh_an_ct2,-0.0005,3/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_DC_RF_Vp_1_W=high, OHMIC_ET_Rsh_an_ct2=high","FIC_ET_Bad_Gates=low, MEASURE_ET_DC_RF_Vp_1_W=low, OHMIC_ET_Rsh_an_ct2=low",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_DC_RF_Vp_01,-0.0005,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, TOPSIN_ET_C100Cap1pf=high, TOPSIN_ET_DC_RF_Vp_01=high","ANODE_ET_Rc_an_ct2_OW_CR=high, TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_DC_RF_Vp_01=low",MODERATE
FIC_ET_Bad_Gates,FIC_ET_Ids_m2,TOPSIN_ET_C100Cap2pf,0.0004,3/5,"FIC_ET_Bad_Gates=high, FIC_ET_Ids_m2=low, TOPSIN_ET_C100Cap2pf=high","FIC_ET_Bad_Gates=low, FIC_ET_Ids_m2=high, TOPSIN_ET_C100Cap2pf=low",MODERATE
MEASURE_ET_DC_RF_Vp_1_W,MEASURE_ET_LT_SEC_Vbgd1_Vd7,TFRP_ET_Rc_TF_AB_2,0.0004,3/5,"MEASURE_ET_DC_RF_Vp_1_W=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, TFRP_ET_Rc_TF_AB_2=low","MEASURE_ET_DC_RF_Vp_1_W=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, TFRP_ET_Rc_TF_AB_2=high",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,0.0004,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_Bad_Gates=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_Bad_Gates=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high",MODERATE
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TOPSIN_ET_C100Cap2pf,-0.0004,3/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, TOPSIN_ET_C100Cap2pf=high","FIC_ET_Bad_Gates=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, TOPSIN_ET_C100Cap2pf=low",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_Bad_Gates,TFRP_ET_Rc_TF_AB_2,0.0004,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_Bad_Gates=high, TFRP_ET_Rc_TF_AB_2=low","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_Bad_Gates=low, TFRP_ET_Rc_TF_AB_2=high",MODERATE
MEASURE_ET_DC_RF_Vp_1_W,MEASURE_ET_LT_SEC_Vbgd1_Vd7,TOPSIN_ET_DC_RF_Vp_01,0.0004,3/5,"MEASURE_ET_DC_RF_Vp_1_W=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, TOPSIN_ET_DC_RF_Vp_01=high","MEASURE_ET_DC_RF_Vp_1_W=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, TOPSIN_ET_DC_RF_Vp_01=low",MODERATE
FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_DC_RF_Vp_1_W,0.0003,3/5,"FIC_ET_R_f_tn_2=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, MEASURE_ET_DC_RF_Vp_1_W=high","FIC_ET_R_f_tn_2=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, MEASURE_ET_DC_RF_Vp_1_W=low",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_Bad_Gates,TOPSIN_ET_DC_RF_Vp_01,-0.0003,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_Bad_Gates=high, TOPSIN_ET_DC_RF_Vp_01=high","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_Bad_Gates=low, TOPSIN_ET_DC_RF_Vp_01=low",MODERATE
FIC_ET_Bad_Gates,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap2pf,-0.0003,3/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_C100Cap2pf=high","FIC_ET_Bad_Gates=low, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_C100Cap2pf=low",MODERATE
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_DC_RF_Vp_01,0.0003,3/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, MEASURE_ET_DC_RF_Vp_1_W=high, TOPSIN_ET_DC_RF_Vp_01=high","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, MEASURE_ET_DC_RF_Vp_1_W=low, TOPSIN_ET_DC_RF_Vp_01=low",MODERATE
MEASURE_ET_LT_SEC_Vbgd1_Vd7,TOPSIN_ET_C100Cap2pf,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0003,3/5,"MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, TOPSIN_ET_C100Cap2pf=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, TOPSIN_ET_C100Cap2pf=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",MODERATE
FIC_ET_Bad_Gates,FIC_ET_Gate_res,FIC_ET_Ids_m2,-0.0003,3/5,"FIC_ET_Bad_Gates=high, FIC_ET_Gate_res=low, FIC_ET_Ids_m2=low","FIC_ET_Bad_Gates=low, FIC_ET_Gate_res=high, FIC_ET_Ids_m2=high",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,THIN_ET_TF_AB_1,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0003,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, THIN_ET_TF_AB_1=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","ANODE_ET_Rc_an_ct2_OW_CR=high, THIN_ET_TF_AB_1=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",MODERATE
MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_DC_RF_Vp_01,-0.0003,3/5,"MEASURE_ET_DC_RF_Vp_1_W=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low, TOPSIN_ET_DC_RF_Vp_01=high","MEASURE_ET_DC_RF_Vp_1_W=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high, TOPSIN_ET_DC_RF_Vp_01=low",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_lkg_50_at20V,THIN_ET_TF_AB_1,-0.0003,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_lkg_50_at20V=low, THIN_ET_TF_AB_1=high","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_lkg_50_at20V=high, THIN_ET_TF_AB_1=low",MODERATE
MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap2pf,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0003,3/5,"MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_C100Cap2pf=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_C100Cap2pf=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",MODERATE
FIC_ET_Bad_Gates,FIC_ET_R_f_tn_2,MEASURE_ET_LT_SEC_Vbgd1_Vd7,-0.0002,3/5,"FIC_ET_Bad_Gates=high, FIC_ET_R_f_tn_2=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low","FIC_ET_Bad_Gates=low, FIC_ET_R_f_tn_2=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high",MODERATE
FIC_ET_Bad_Gates,FIC_ET_Gate_res,TOPSIN_ET_C100Cap2pf,0.0002,3/5,"FIC_ET_Bad_Gates=high, FIC_ET_Gate_res=low, TOPSIN_ET_C100Cap2pf=high","FIC_ET_Bad_Gates=low, FIC_ET_Gate_res=high, TOPSIN_ET_C100Cap2pf=low",MODERATE
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,THIN_ET_TF_AB_1,TOPSIN_ET_C100Cap2pf,0.0002,3/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, THIN_ET_TF_AB_1=high, TOPSIN_ET_C100Cap2pf=high","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, THIN_ET_TF_AB_1=low, TOPSIN_ET_C100Cap2pf=low",MODERATE
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_LT_SEC_Vbgd1_Vd7,THIN_ET_TF_AB_1,-0.0002,3/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, THIN_ET_TF_AB_1=high","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, THIN_ET_TF_AB_1=low",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0002,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",MODERATE
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0001,3/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, MEASURE_ET_DC_RF_Vp_1_W=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, MEASURE_ET_DC_RF_Vp_1_W=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",MODERATE
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_DC_RF_Vp_1_W,TFRP_ET_Rc_TF_AB_2,-0.0001,3/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, MEASURE_ET_DC_RF_Vp_1_W=high, TFRP_ET_Rc_TF_AB_2=low","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, MEASURE_ET_DC_RF_Vp_1_W=low, TFRP_ET_Rc_TF_AB_2=high",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_Bad_Gates,TOPSIN_ET_C100Cap2pf,0.0001,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_Bad_Gates=high, TOPSIN_ET_C100Cap2pf=high","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_Bad_Gates=low, TOPSIN_ET_C100Cap2pf=low",MODERATE
FIC_ET_Bad_Gates,FIC_ET_R_f_tn_2,TOPSIN_ET_C100Cap2pf,0.0001,3/5,"FIC_ET_Bad_Gates=high, FIC_ET_R_f_tn_2=high, TOPSIN_ET_C100Cap2pf=high","FIC_ET_Bad_Gates=low, FIC_ET_R_f_tn_2=low, TOPSIN_ET_C100Cap2pf=low",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_Bad_Gates,MEASURE_ET_LT_SEC_Vbgd1_Vd7,0.0001,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_Bad_Gates=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_Bad_Gates=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high",MODERATE
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,OHMIC_ET_Rsh_an_ct2,TOPSIN_ET_DC_RF_Vp_01,0.0001,3/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, OHMIC_ET_Rsh_an_ct2=high, TOPSIN_ET_DC_RF_Vp_01=high","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, OHMIC_ET_Rsh_an_ct2=low, TOPSIN_ET_DC_RF_Vp_01=low",MODERATE
FIC_ET_Bad_Gates,FIC_ET_Ids_m2,FIC_ET_R_f_tn_2,-0.0001,3/5,"FIC_ET_Bad_Gates=high, FIC_ET_Ids_m2=low, FIC_ET_R_f_tn_2=high","FIC_ET_Bad_Gates=low, FIC_ET_Ids_m2=high, FIC_ET_R_f_tn_2=low",MODERATE
FIC_ET_Bad_Gates,TOPSIN_ET_C100Cap2pf,TOPSIN_ET_DC_SMALL_Vbgs_0p01,0.0001,3/5,"FIC_ET_Bad_Gates=high, TOPSIN_ET_C100Cap2pf=high, TOPSIN_ET_DC_SMALL_Vbgs_0p01=low","FIC_ET_Bad_Gates=low, TOPSIN_ET_C100Cap2pf=low, TOPSIN_ET_DC_SMALL_Vbgs_0p01=high",MODERATE
FIC_ET_Bad_Gates,FIC_ET_R_f_tn_2,THIN_ET_TF_AB_1,-0.0001,3/5,"FIC_ET_Bad_Gates=high, FIC_ET_R_f_tn_2=high, THIN_ET_TF_AB_1=high","FIC_ET_Bad_Gates=low, FIC_ET_R_f_tn_2=low, THIN_ET_TF_AB_1=low",MODERATE
FIC_ET_R_f_tn_2,TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_RF_Vp_01,-0.0001,3/5,"FIC_ET_R_f_tn_2=high, TFRP_ET_Rc_TF_AB_2=low, TOPSIN_ET_DC_RF_Vp_01=high","FIC_ET_R_f_tn_2=low, TFRP_ET_Rc_TF_AB_2=high, TOPSIN_ET_DC_RF_Vp_01=low",MODERATE
FIC_ET_Bad_Gates,FIC_ET_R_f_tn_2,TOPSIN_ET_DC_RF_Vp_01,-0.0001,3/5,"FIC_ET_Bad_Gates=high, FIC_ET_R_f_tn_2=high, TOPSIN_ET_DC_RF_Vp_01=high","FIC_ET_Bad_Gates=low, FIC_ET_R_f_tn_2=low, TOPSIN_ET_DC_RF_Vp_01=low",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,0.0001,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_R_f_tn_2=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_R_f_tn_2=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high",MODERATE
TFRP_ET_Rc_TF_AB_2,THIN_ET_TF_AB_1,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0001,3/5,"TFRP_ET_Rc_TF_AB_2=low, THIN_ET_TF_AB_1=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","TFRP_ET_Rc_TF_AB_2=high, THIN_ET_TF_AB_1=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",MODERATE
FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_Vp_1_W,TFRP_ET_Rc_TF_AB_2,-0.0,3/5,"FIC_ET_R_f_tn_2=high, MEASURE_ET_DC_RF_Vp_1_W=high, TFRP_ET_Rc_TF_AB_2=low","FIC_ET_R_f_tn_2=low, MEASURE_ET_DC_RF_Vp_1_W=low, TFRP_ET_Rc_TF_AB_2=high",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_RF_Vp_01,-0.0,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, TFRP_ET_Rc_TF_AB_2=low, TOPSIN_ET_DC_RF_Vp_01=high","ANODE_ET_Rc_an_ct2_OW_CR=high, TFRP_ET_Rc_TF_AB_2=high, TOPSIN_ET_DC_RF_Vp_01=low",MODERATE
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TOPSIN_ET_C100Cap2pf,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0,3/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, TOPSIN_ET_C100Cap2pf=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, TOPSIN_ET_C100Cap2pf=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_DC_RF_Vp_1_W,-0.0,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, MEASURE_ET_DC_RF_Vp_1_W=high","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, MEASURE_ET_DC_RF_Vp_1_W=low",MODERATE
FIC_ET_Bad_Gates,FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_Vp_1_W,-0.0,3/5,"FIC_ET_Bad_Gates=high, FIC_ET_R_f_tn_2=high, MEASURE_ET_DC_RF_Vp_1_W=high","FIC_ET_Bad_Gates=low, FIC_ET_R_f_tn_2=low, MEASURE_ET_DC_RF_Vp_1_W=low",MODERATE
MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_C100Cap2pf,0.0,3/5,"MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_C100Cap1pf=high, TOPSIN_ET_C100Cap2pf=high","MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_C100Cap2pf=low",MODERATE
Technology_PHEMT_0.25um,VendorName_EPI_B,Version_V2.0,0.0,3/5,"Technology_PHEMT_0.25um=high, VendorName_EPI_B=high, Version_V2.0=low","Technology_PHEMT_0.25um=low, VendorName_EPI_B=low, Version_V2.0=low",MODERATE
MEASURE_ET_LT_SEC_Vbgd1_Vd7,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_C100Cap2pf,-0.0,3/5,"MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, TOPSIN_ET_C100Cap1pf=high, TOPSIN_ET_C100Cap2pf=high","MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_C100Cap2pf=low",MODERATE
OHMIC_ET_Rsh_an_ct2,TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_RF_Vp_01,0.0,3/5,"OHMIC_ET_Rsh_an_ct2=high, TFRP_ET_Rc_TF_AB_2=low, TOPSIN_ET_DC_RF_Vp_01=high","OHMIC_ET_Rsh_an_ct2=low, TFRP_ET_Rc_TF_AB_2=high, TOPSIN_ET_DC_RF_Vp_01=low",MODERATE
TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_DC_RF_Vp_01,-0.0,3/5,"TFRP_ET_Rc_TF_AB_2=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=low, TOPSIN_ET_DC_RF_Vp_01=high","TFRP_ET_Rc_TF_AB_2=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=high, TOPSIN_ET_DC_RF_Vp_01=low",MODERATE
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_DC_RF_Vp_01,-0.0009,2/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_DC_RF_Vp_1_W=high, TOPSIN_ET_DC_RF_Vp_01=high","FIC_ET_Bad_Gates=low, MEASURE_ET_DC_RF_Vp_1_W=low, TOPSIN_ET_DC_RF_Vp_01=low",WEAK
ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_C100Cap2pf,0.0007,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, TOPSIN_ET_C100Cap1pf=high, TOPSIN_ET_C100Cap2pf=high","ANODE_ET_Rc_an_ct2_OW_CR=high, TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_C100Cap2pf=low",WEAK
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TOPSIN_ET_C100Cap2pf,TOPSIN_ET_DC_RF_Vp_01,-0.0006,2/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, TOPSIN_ET_C100Cap2pf=high, TOPSIN_ET_DC_RF_Vp_01=high","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, TOPSIN_ET_C100Cap2pf=low, TOPSIN_ET_DC_RF_Vp_01=low",WEAK
ANODE_ET_Rc_an_ct2_OW_CR,THIN_ET_TF_AB_1,TOPSIN_ET_DC_RF_Vp_01,0.0006,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, THIN_ET_TF_AB_1=high, TOPSIN_ET_DC_RF_Vp_01=high","ANODE_ET_Rc_an_ct2_OW_CR=high, THIN_ET_TF_AB_1=low, TOPSIN_ET_DC_RF_Vp_01=low",WEAK
MEASURE_ET_lkg_50_at20V,TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0004,2/5,"MEASURE_ET_lkg_50_at20V=low, TFRP_ET_Rc_TF_AB_2=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","MEASURE_ET_lkg_50_at20V=high, TFRP_ET_Rc_TF_AB_2=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",WEAK
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_RF_Vp_01,-0.0003,2/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, TFRP_ET_Rc_TF_AB_2=low, TOPSIN_ET_DC_RF_Vp_01=high","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, TFRP_ET_Rc_TF_AB_2=high, TOPSIN_ET_DC_RF_Vp_01=low",WEAK
FIC_ET_Bad_Gates,FIC_ET_Gate_res,MEASURE_ET_LT_SEC_Vbgd1_Vd7,-0.0003,2/5,"FIC_ET_Bad_Gates=high, FIC_ET_Gate_res=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low","FIC_ET_Bad_Gates=low, FIC_ET_Gate_res=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high",WEAK
FIC_ET_Bad_Gates,MEASURE_ET_LT_SEC_Vbgd1_Vd7,TOPSIN_ET_C100Cap2pf,0.0003,2/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, TOPSIN_ET_C100Cap2pf=high","FIC_ET_Bad_Gates=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, TOPSIN_ET_C100Cap2pf=low",WEAK
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_DC_RF_Vp_01,-0.0003,2/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=low, TOPSIN_ET_DC_RF_Vp_01=high","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=high, TOPSIN_ET_DC_RF_Vp_01=low",WEAK
MEASURE_ET_DC_RF_Vp_1_W,TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_RF_Vp_01,-0.0003,2/5,"MEASURE_ET_DC_RF_Vp_1_W=high, TFRP_ET_Rc_TF_AB_2=low, TOPSIN_ET_DC_RF_Vp_01=high","MEASURE_ET_DC_RF_Vp_1_W=low, TFRP_ET_Rc_TF_AB_2=high, TOPSIN_ET_DC_RF_Vp_01=low",WEAK
FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TOPSIN_ET_DC_RF_Vp_01,0.0003,2/5,"FIC_ET_R_f_tn_2=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, TOPSIN_ET_DC_RF_Vp_01=high","FIC_ET_R_f_tn_2=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, TOPSIN_ET_DC_RF_Vp_01=low",WEAK
ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0003,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, TOPSIN_ET_C100Cap1pf=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","ANODE_ET_Rc_an_ct2_OW_CR=high, TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",WEAK
MEASURE_ET_DC_RF_Vp_1_W,MEASURE_ET_LT_SEC_Vbgd1_Vd7,OHMIC_ET_Rsh_an_ct2,-0.0003,2/5,"MEASURE_ET_DC_RF_Vp_1_W=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, OHMIC_ET_Rsh_an_ct2=high","MEASURE_ET_DC_RF_Vp_1_W=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, OHMIC_ET_Rsh_an_ct2=low",WEAK
