raw_csv_parameter_name,shap_importance,gain_importance,permutation_importance,shap_rank,gain_rank,permutation_rank,shap_percentile,gain_percentile,permutation_percentile,percentile_spread,method_agreement
MEASURE_ET_VIA_KLV,0.0250029961310693,617.9740306586027,0.0254942166389214,28,27,28,98.10526315789474,98.17543859649123,98.10526315789474,0.07017543859649322,high_agreement
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,0.0244263779425227,349.0839923109161,0.0163778520228642,29,43,35,98.03508771929825,97.05263157894737,97.6140350877193,0.9824561403508767,high_agreement
TOPSIN_ET_R_f_hr_3,0.0232568802767655,618.5068105692044,0.0338426361984425,30,26,23,97.96491228070175,98.24561403508771,98.45614035087719,0.49122807017543835,high_agreement
FIC_ET_G_per_25,0.0214815986907183,1107.0983757451177,0.0395879868310542,31,12,17,97.89473684210527,99.2280701754386,98.87719298245614,1.3333333333333286,high_agreement
TOPSIN_ET_Cap3pf,0.0208079285870868,589.1757863424718,0.0165213004388008,32,28,34,97.82456140350877,98.10526315789474,97.68421052631578,0.42105263157895934,high_agreement
CATHODE_ET_Rcat_cn_2,0.0207265616665401,344.9686164758168,0.0159761122234255,33,45,36,97.75438596491229,96.91228070175438,97.54385964912281,0.8421052631579045,high_agreement
THIN_ET_lkg_100_at20V,0.0202211984017789,428.1331046130508,0.0184088881039112,34,37,33,97.68421052631578,97.47368421052632,97.75438596491229,0.2807017543859729,high_agreement
MaskSetSupplyChipsCount,0.0194435454486644,974.577676013112,0.0264102231300453,35,16,27,97.6140350877193,98.94736842105263,98.17543859649123,1.3333333333333286,high_agreement
THIN_ET_Rcat_cn_1,0.0182539089434629,285.21732393768616,0.01324643217998,36,54,38,97.54385964912281,96.28070175438597,97.40350877192982,1.2631578947368354,high_agreement
THIN_ET_TF_AB_1,0.0175378584844694,425.55396750569344,0.0131541481628254,37,38,39,97.47368421052632,97.40350877192982,97.33333333333334,0.14035087719297223,high_agreement
ANODE_ET_Ran_con_1,0.0166763933052352,269.1309053786099,0.0086716008158253,38,57,54,97.40350877192982,96.0701754385965,96.28070175438597,1.3333333333333286,high_agreement
MEASURE_ET_DC_RF_Max_S11_Ph_L2180,0.0165114355613237,264.1783226286061,0.0119390558863376,39,60,41,97.33333333333334,95.85964912280703,97.19298245614036,1.473684210526315,high_agreement
MEASURE_ET_RF_Modeling_S21_25G_Before,0.0162132361498115,243.90799552435053,0.0121148016700455,40,66,40,97.26315789473684,95.43859649122807,97.26315789473684,1.824561403508767,high_agreement
MEASURE_ET_DC_Diode_S11_dB_forw,0.0155000554338503,90.30714475736022,0.0148258973666258,41,162,37,97.19298245614036,88.70175438596492,97.47368421052632,8.771929824561397,high_agreement
MEASURE_ET_DC_Diode_Rs_9p5,0.0150285126529885,166.34742149990052,0.0091478825218023,42,101,49,97.12280701754385,92.98245614035088,96.63157894736842,4.140350877192972,high_agreement
SIN_ET_lkg_SY07_10,0.0149183110763025,1394.6356340646744,0.0084597533081747,43,11,57,97.05263157894737,99.29824561403508,96.0701754385965,3.2280701754385888,high_agreement
FIC_ET_lkg_SY8_80,0.0145570792758533,334.49976912140846,0.0088771582246534,44,46,51,96.98245614035088,96.84210526315789,96.49122807017544,0.49122807017543835,high_agreement
