fold,rmse,mae,r2
0,0.25974850022747553,0.1499935945131445,0.9864853393499363
1,0.23913405224220682,0.1555629097936337,0.9914415858500863
2,0.21081095763968385,0.1431059459006305,0.9889228770072335
3,0.20521534574005507,0.12521331568726518,0.9931036044501362
4,0.1905355104424472,0.13677235512092664,0.9906303664656367
