parameter_A,parameter_B,parameter_C,channels,n_channels
FIN_FIN_Alignment_FIN_to_ohmic_alignment,THIN_ET_C_AN_2,TOPSIN_ET_DC_SMALL_Vbgd_0p1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_10,OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,OHMIC_ET_lkg_5,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,MEASURE_ET_lkg_C300,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,OHMIC_ET_lkg_5,THIN_ET_lkg_C200,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_PAD_10,SIN_ET_DC_RF_Vbgd_0p1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_10,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,MEASURE_ET_lkg_5,SIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_C300,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_HIRS,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vg_gm_max,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
MEASURE_ET_lkg_10,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,4
