parameter_A,parameter_B,mlp_h_statistic,mlp_rms_nonadditivity,fold_reproducibility,high_yield_region,low_yield_region,confidence
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_Vp_1_W,0.0142,0.00184,3/5,"ANODE_ET_Rc_an_ct2_OW_CR~0.1574, MEASURE_ET_DC_RF_Vp_1_W~-0.8363","ANODE_ET_Rc_an_ct2_OW_CR~0.2672, MEASURE_ET_DC_RF_Vp_1_W~-1.234",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_Bad_Gates,0.0141,0.00201,3/5,"ANODE_ET_Rc_an_ct2_OW_CR~0.1574, FIC_ET_Bad_Gates~17.97","ANODE_ET_Rc_an_ct2_OW_CR~0.2672, FIC_ET_Bad_Gates~12.62",MODERATE
TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_RF_Vp_01,0.0139,0.00217,3/5,"TFRP_ET_Rc_TF_AB_2~0.1388, TOPSIN_ET_DC_RF_Vp_01~-0.829","TFRP_ET_Rc_TF_AB_2~0.2615, TOPSIN_ET_DC_RF_Vp_01~-1.239",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_DC_RF_Vp_01,0.0129,0.00199,3/5,"ANODE_ET_Rc_an_ct2_OW_CR~0.1574, TOPSIN_ET_DC_RF_Vp_01~-0.829","ANODE_ET_Rc_an_ct2_OW_CR~0.2672, TOPSIN_ET_DC_RF_Vp_01~-1.239",MODERATE
MEASURE_ET_DC_RF_Vp_1_W,OHMIC_ET_Rsh_an_ct2,0.0124,0.00174,3/5,"MEASURE_ET_DC_RF_Vp_1_W~-0.8363, OHMIC_ET_Rsh_an_ct2~134.1","MEASURE_ET_DC_RF_Vp_1_W~-1.234, OHMIC_ET_Rsh_an_ct2~107.1",MODERATE
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_lkg_50_at20V,0.0119,0.0024,3/5,"ANODE_ET_Rc_an_ct2_OW_CR~0.1574, MEASURE_ET_lkg_50_at20V~0.02393","ANODE_ET_Rc_an_ct2_OW_CR~0.2672, MEASURE_ET_lkg_50_at20V~0.3181",MODERATE
Sort_Yield_target[%]_90,Technology_PHEMT_0.15um,0.0116,0.00826,3/5,"Sort_Yield_target____90~1, Technology_PHEMT_0_15um~0","Sort_Yield_target____90~0, Technology_PHEMT_0_15um~1",MODERATE
Technology_PHEMT_0.15um,VendorName_EPI_A,0.0116,0.00799,3/5,"Technology_PHEMT_0_15um~0, VendorName_EPI_A~0","Technology_PHEMT_0_15um~1, VendorName_EPI_A~1",MODERATE
Sort_Yield_target[%]_88,VendorName_EPI_A,0.0115,0.0077,3/5,"Sort_Yield_target____88~0, VendorName_EPI_A~0","Sort_Yield_target____88~1, VendorName_EPI_A~1",MODERATE
Sort_Yield_target[%]_88,Technology_PHEMT_0.15um,0.0115,0.00796,3/5,"Sort_Yield_target____88~0, Technology_PHEMT_0_15um~0","Sort_Yield_target____88~1, Technology_PHEMT_0_15um~1",MODERATE
Sort_Yield_target[%]_90,VendorName_EPI_A,0.0115,0.008,3/5,"Sort_Yield_target____90~1, VendorName_EPI_A~0","Sort_Yield_target____90~0, VendorName_EPI_A~1",MODERATE
TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0114,0.0014,3/5,"TFRP_ET_Rc_TF_AB_2~0.1388, TOPSIN_ET_DC_PIV_Drain_Lag_0~3.685","TFRP_ET_Rc_TF_AB_2~0.2615, TOPSIN_ET_DC_PIV_Drain_Lag_0~10.11",MODERATE
Sort_Yield_target[%]_88,Sort_Yield_target[%]_90,0.0114,0.00797,3/5,"Sort_Yield_target____88~0, Sort_Yield_target____90~1","Sort_Yield_target____88~1, Sort_Yield_target____90~0",MODERATE
MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_DC_RF_Vp_01,0.011,0.00133,3/5,"MEASURE_ET_DC_RF_Vp_1_W~-0.8363, TOPSIN_ET_DC_RF_Vp_01~-0.829","MEASURE_ET_DC_RF_Vp_1_W~-1.234, TOPSIN_ET_DC_RF_Vp_01~-1.239",MODERATE
FIC_ET_Bad_Gates,FIC_ET_Ids_m2,0.0109,0.00359,3/5,"FIC_ET_Bad_Gates~17.97, FIC_ET_Ids_m2~61.97","FIC_ET_Bad_Gates~12.62, FIC_ET_Ids_m2~72.41",MODERATE
OHMIC_ET_Rsh_an_ct2,TOPSIN_ET_DC_RF_Vp_01,0.0105,0.00173,3/5,"OHMIC_ET_Rsh_an_ct2~134.1, TOPSIN_ET_DC_RF_Vp_01~-0.829","OHMIC_ET_Rsh_an_ct2~107.1, TOPSIN_ET_DC_RF_Vp_01~-1.239",MODERATE
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TOPSIN_ET_C100Cap2pf,0.01,0.00134,3/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002~13.52, TOPSIN_ET_C100Cap2pf~0.9812","MEASURE_ET_DC_RF_CF_S12_Mag_L1002~16.82, TOPSIN_ET_C100Cap2pf~0.6201",MODERATE
TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_DC_RF_Vp_01,0.01,0.00112,3/5,"TOPSIN_ET_DC_PIV_Drain_Lag_0~3.685, TOPSIN_ET_DC_RF_Vp_01~-0.829","TOPSIN_ET_DC_PIV_Drain_Lag_0~10.11, TOPSIN_ET_DC_RF_Vp_01~-1.239",MODERATE
MEASURE_ET_lkg_50_at20V,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0094,0.00162,3/5,"MEASURE_ET_lkg_50_at20V~0.02393, TOPSIN_ET_DC_PIV_Drain_Lag_0~3.685","MEASURE_ET_lkg_50_at20V~0.3181, TOPSIN_ET_DC_PIV_Drain_Lag_0~10.11",MODERATE
