parameter_A,parameter_B,mlp_h_statistic,mlp_rms_nonadditivity,fold_reproducibility,high_yield_region,low_yield_region,confidence
FIC_ET_Bad_Gates,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,0.009,0.00558,0/5,"FIC_ET_Bad_Gates~17.97, MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2~16.23","FIC_ET_Bad_Gates~12.62, MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2~23.18",INCONCLUSIVE
Technology_PHEMT_0.35um,Version_V2.0,0.0089,0.00884,1/5,"Technology_PHEMT_0_35um~0, Version_V2_0~0","Technology_PHEMT_0_35um~1, Version_V2_0~1",INCONCLUSIVE
FIC_ET_Bad_Gates,MEASURE_ET_ABVIETCH,0.0085,0.00196,1/5,"FIC_ET_Bad_Gates~17.97, MEASURE_ET_ABVIETCH~27.43","FIC_ET_Bad_Gates~12.62, MEASURE_ET_ABVIETCH~21.14",INCONCLUSIVE
MEASURE_ET_LT_SEC_Vbgd1_Vd7,THIN_ET_sh_f_hr_23,0.0084,0.00197,0/5,"MEASURE_ET_LT_SEC_Vbgd1_Vd7~22.21, THIN_ET_sh_f_hr_23~5.793","MEASURE_ET_LT_SEC_Vbgd1_Vd7~30.97, THIN_ET_sh_f_hr_23~-0.4848",INCONCLUSIVE
MEASURE_ET_lkg_50_at20V,SIN_GATE_ET_Rsh_an_ct2,0.0082,0.00295,0/5,"MEASURE_ET_lkg_50_at20V~0.02393, SIN_GATE_ET_Rsh_an_ct2~126.4","MEASURE_ET_lkg_50_at20V~0.3181, SIN_GATE_ET_Rsh_an_ct2~105.5",INCONCLUSIVE
SIN_GATE_ET_Rsh_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0082,0.00266,0/5,"SIN_GATE_ET_Rsh_an_ct2~126.4, TOPSIN_ET_DC_PIV_Drain_Lag_0~3.685","SIN_GATE_ET_Rsh_an_ct2~105.5, TOPSIN_ET_DC_PIV_Drain_Lag_0~10.11",INCONCLUSIVE
FIC_ET_Ids_m2,Version_V2.0,0.0081,0.00531,0/5,"FIC_ET_Ids_m2~61.97, Version_V2_0~0","FIC_ET_Ids_m2~72.41, Version_V2_0~1",INCONCLUSIVE
FIC_ET_DC_PIV_Ids1_QP3,VendorName_EPI_B,0.0081,0.01126,1/5,"FIC_ET_DC_PIV_Ids1_QP3~14.01, VendorName_EPI_B~1","FIC_ET_DC_PIV_Ids1_QP3~22.12, VendorName_EPI_B~0",INCONCLUSIVE
MEASURE_ET_ABVIETCH,MEASURE_ET_lkg_50_at20V,0.0079,0.00214,1/5,"MEASURE_ET_ABVIETCH~27.43, MEASURE_ET_lkg_50_at20V~0.02393","MEASURE_ET_ABVIETCH~21.14, MEASURE_ET_lkg_50_at20V~0.3181",INCONCLUSIVE
Technology_PHEMT_0.25um,Version_V2.0,0.0078,0.01117,1/5,"Technology_PHEMT_0_25um~1, Version_V2_0~0","Technology_PHEMT_0_25um~0, Version_V2_0~1",INCONCLUSIVE
