unit,unit_type,cluster_size,oof_importance,cumulative_fraction
MEASURE_ET_DC_RF_S21ang_26GHz_W,numeric_cluster,1,0.0069322553670098305,0.6997465956563236
MEASURE_ET_LT_SEC_Vbgd1_Vd8,numeric_cluster,1,0.006814027169392181,0.7014857027351108
TOPSIN_ET_Load_Pull_PhL_meas,numeric_cluster,1,0.006810855787874023,0.7032240003994488
MEASURE_ET_RGAN2,numeric_cluster,1,0.006497508557210782,0.7048823241550515
STAGE_RANGE_DC_RF_Vbgs_0p1,engineered,1,0.006479629715164558,0.7065360847910789
MEASURE_ET_LT_SEC_Id_min_mA_mm,numeric_cluster,1,0.0064367922953583135,0.7081789122655309
MEASURE_ET_Load_Pull_ID_comp_Last_mA,numeric_cluster,1,0.006371815078167839,0.7098051559583854
MEASURE_ET_R_f_hr_3,numeric_cluster,1,0.006328495119707625,0.7114203433339497
MEASURE_ET_Load_Pull_Pout_W_mm_last,numeric_cluster,2,0.006283709243644778,0.7130241002540497
STAGE_RANGE_Vds_max,engineered,1,0.0062431347789542,0.7146175015742957
MEASURE_ET_HIRS,numeric_cluster,1,0.006214239026558437,0.7162035279888818
MEASURE_ET_C_AN_2_OW_CR,numeric_cluster,1,0.005979136149033861,0.7177295503752504
MEASURE_ET_DC_RF_Vg_Vbon_min,numeric_cluster,1,0.005970285506948038,0.7192533138603965
MEASURE_ET_RF_Modeling_Ft,numeric_cluster,1,0.005900815679645718,0.720759346939511
MEASURE_ET_DC_RF_CF_S11_Ph_L1002,numeric_cluster,1,0.005751215998950179,0.7222271985061053
MEASURE_ET_LT_SEC_Vd_Id_min_Vd3,numeric_cluster,1,0.0057477612278041025,0.7236941683302577
FIC_ET_Bad_Gates,numeric_cluster,1,0.005744406270444886,0.7251602818868977
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_SD3p5,numeric_cluster,1,0.005669132675873731,0.7266071837735649
MEASURE_ET_DC_RF_S11dB_26GHz_W,numeric_cluster,1,0.0056230253214665325,0.7280423179310406
MEASURE_ET_DC_Diode_S21_dB_rev,numeric_cluster,1,0.005610115974430738,0.729474157306113
MEASURE_ET_DC_RF2_S11ang_26GHz,numeric_cluster,1,0.005603567853368083,0.7309043254398755
