unit,cluster_size,oof_importance,cumulative_fraction
MEASURE_ET_DC_RF_CF_S11_Ph_L1002,1,0.00595864709624133,0.7361296541301348
MEASURE_ET_Load_Pull_Pout_W_mm_last,2,0.005955021999233735,0.7376571102455006
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos_FPSD3p2,1,0.005952364587633712,0.739183884737927
MEASURE_ET_LT_SEC_Vbgd1_Vd7,1,0.005932348569960226,0.7407055251454407
MEASURE_ET_DC_SEC_n_gs,1,0.005791456945049433,0.742191027017429
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1_FPSD3p2,1,0.005721321568029236,0.7436585392479775
MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,1,0.005711371531061903,0.7451234993057858
THIN_ET_C_AN_2,1,0.00569143089111762,0.7465833446129799
THIN_ET_DC_RF_Vg_optt1,1,0.005669905157471648,0.7480376685948963
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,1,0.005596237651789305,0.749473096948539
FIC_ET_G_per_2p75K,1,0.005413132009825045,0.7508615589210983
TOPSIN_ET_DC_SMALL_Vt_gs,1,0.005336305847840473,0.75223031507377
MEASURE_ET_RF_Modeling_Mag_m,1,0.005296912346941563,0.7535889668399488
MEASURE_ET_DC_RF_Min_S21_Ph_L1002,1,0.005192948152303858,0.7549209519128898
MEASURE_ET_i5021_3,1,0.005148593627272718,0.7562415601025024
MEASURE_ET_DC_SEC_Vbin_gs,1,0.005134072645715265,0.7575584436774815
MEASURE_ET_DC_SEC_S_Vg_at_I1_neg_FPSD3p2,1,0.0051182978831672875,0.7588712810444826
THIN_ET_DC_RF_Vg_optt3,1,0.005097839096391764,0.760178870756819
FIN_FIN_Alignment_FIN_to_ohmic_alignment,1,0.005027712729263279,0.761468473138742
SIN_ET_DC_RF_Vg_max_Vd_0p1,1,0.0050193108010072466,0.7627559204359823
MEASURE_ET_RF_Modeling_S12ang_10GHz,1,0.00499126745845484,0.7640361746489516
MEASURE_ET_DC_RF_Vboff,1,0.004980426441364637,0.7653136481538304
MEASURE_ET_DC_RF_Vg_max_Vd_0p1,1,0.0049382043757212795,0.7665802917486975
OHMIC_ET_sh_GA142,1,0.004898849270908489,0.7678368408056225
EBCR2_ET_Ids_EBCR_recess_current,1,0.004889221196169036,0.7690909202727387
MEASURE_ET_LT_SEC_Id_min_mA_mm,1,0.00481612643645691,0.7703262510202469
TOPSIN_ET_I_5,1,0.004800831153286618,0.7715576585456716
MEASURE_ET_DC_SEC_Vgs_0p1V,1,0.004770468660844638,0.7727812781276153
THIN_ET_TF_AB_2,1,0.00473158821986784,0.7739949249223309
MEASURE_ET_DC_RF_Vg_max_Vd,1,0.004715019958519033,0.7752043219775623
FIC_ET_DC_RF_Vbin_gs,1,0.004667442327813006,0.7764015154266634
SIN_GATE_ET_RGAN2,1,0.004595594127017124,0.7775802798970473
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,1,0.0045918160009535925,0.7787580752825545
MEASURE_ET_DC_SEC_X_Ids_max_norm_SD3p5,1,0.004586172720160217,0.7799344231731977
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_SD3p5,1,0.0045739046224165985,0.7811076243112471
MEASURE_ET_Load_Pull_ID_comp_Last_mA,1,0.004571924130690625,0.782280317455506
MEASURE_ET_DC_Big_S21ang_10GHz,1,0.004561105922953593,0.7834502357422467
TOPSIN_ET_sh_f_tn_23,1,0.004531216609773112,0.7846124874554287
MEASURE_ET_C_AN_2_OW_CR,1,0.004513218447043192,0.7857701226611097
MEASURE_ET_DC_RD_S22ang_18GHz,1,0.0045111140461280355,0.7869272180904393
MEASURE_ET_DC_Diode_S11_dB_forw,1,0.004387027189044958,0.7880524853873604
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm,1,0.004361004738148026,0.7891710779563351
MEASURE_ET_Load_Pull_GL_set,1,0.004351641703357678,0.7902872689179352
MEASURE_ET_RF_Modeling_Mag_i,1,0.0043327721345221976,0.7913986198573968
MEASURE_ET_Rsh_an_ct2_OW_CR,1,0.004275524579673898,0.7924952868665968
SIN_ET_DC_RF_n_gd,1,0.004269355196175418,0.7935903714362098
MEASURE_ET_R_f_tn_1,1,0.004234778316620109,0.7946765870770206
MEASURE_ET_RF_Modeling_S22ang_10GHz,1,0.004234229698040911,0.7957626619978132
MEASURE_ET_C_CAT_2,1,0.0042305400496221255,0.7968477905281405
MEASURE_ET_DC_RF_Vbgs_0p01,1,0.0042246041447641805,0.7979313965058766
MEASURE_ET_DC_RF_S11dB_26GHz,1,0.0041770173602782585,0.7990027965295488
MEASURE_ET_DC_Diode_S21_dB_forw_9p5,1,0.004166821466873153,0.8000715813185943
MEASURE_ET_DC_RF_S12ang_10GHz,1,0.004158901860043767,0.8011383347378341
TOPSIN_ET_R414,1,0.0041425412881231725,0.802200891689683
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,1,0.004112681592373943,0.8032557896648093
MEASURE_ET_DC_RF_Vt_gd,1,0.004070622567904065,0.8042998995497922
THIN_Measure1_Glue_thickness,1,0.004047588517500365,0.8053381012280288
MEASURE_ET_RF_Modeling_Delta_S21_19G,1,0.003981598188094534,0.8063593764646472
