,permutation_rmse_increase
MEASURE_ET_DC_RF_Vboff,0.0042507096212712255
THIN_ET_DC_RF_Vbgs_0p01,0.004131506412102989
FIC_ET_sh_f_tn_23,0.004092120713694922
TOPSIN_ET_DC_RF_Idss,0.004020068147325528
MEASURE_ET_DC_PIV_Drain_Lag_Idss,0.004007884158616365
MEASURE_ET_DC_RD_K,0.00396521755047857
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_neg,0.003950241023506338
MEASURE_ET_HIRS,0.003936302898301924
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,0.003931819451852228
MEASURE_ET_LT_SEC_Vbgd1_Vd7,0.0038736586604341816
MEASURE_ET_DC_RF2_S11ang_26GHz,0.003863355433542068
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,0.0038547560653773793
MEASURE_ET_DC_PIV_Ids0_QP1,0.003840185796352635
ANODE_ET_Ran_con_2_OW_CR,0.003816029723690209
MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,0.0038050686128698217
MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_SD3p5,0.0037835855269891723
MEASURE_ET_DC_SMALL_Vbgs_0p01,0.0037402528360374137
TOPSIN_ET_Cap1pf_0,0.003668311533510232
MEASURE_ET_C100CapFICBRGM,0.00363107423640896
MEASURE_ET_lkg_70_at20V,0.0035868300340824166
MEASURE_ET_DC_Stress_Id_max_Ig_after,0.0035838821031694834
STAGE_DELTA_DC_PIV_Gate_Lag_0_FIC_minus_TOPSIN,0.003580106619768669
MEASURE_ET_DC_RF_Max_S11_Ph_L2180,0.0035644818265170436
MEASURE_ET_DC_Diode_S11_dB_rev,0.0035335459268476172
THIN_ET_C20_0,0.0035010577187250813
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,0.0034830243782991545
MEASURE_ET_RF_Modeling_S22ang_10GHz,0.003463900132144845
MEASURE_ET_DC_SEC_Ids_max_ON,0.0034543899656614974
SIN_ET_DC_RF_Vbgs1,0.003411595969344475
MEASURE_ET_C100,0.0033490847500878664
SIN_ET_lkg_SY07_10,0.0033119274070511433
STAGE_DELTA_DC_PIV_Drain_Lag_0_FIC_minus_TOPSIN,0.0032529649865416315
MEASURE_ET_DC_RF_S22dB_26GHz,0.003247091427709475
MEASURE_ET_RF_Modeling_MAG_19G_Before,0.003246843648577044
STAGE_STD_DC_RF_Vbgs_0p1,0.0032396434124399827
MEASURE_ET_DC_RF_CF_S22_Ph_L2180,0.0032127480171288024
MEASURE_ET_DC_RD_S11ang_18GHz,0.0031761065900078127
MEASURE_ET_C100C500pf,0.0031309688245835187
TOPSIN_ET_Load_Pull_P.A.E_Last,0.0031179423966955196
MEASURE_ET_Rc_OG142_GN,0.0031174093194662245
MEASURE_ET_DC_RF2_S12dB_26GHz,0.0030960153167032185
FIC_ET_Gm_m2,0.003082554606833743
TOPSIN_ET_CapUSV_0,0.0030749052656500546
MEASURE_ET_DC_Big_S11ang_10GHz,0.003071975056857365
FIC_ET_DC_PIV_Gate_Lag_1,0.003066361974402046
MEASURE_ET_DC_RF_Vdg_max_0p1mA,0.003064304450794436
FIC_ET_DC_RF_Vbgd_0p1,0.002946345484197044
FIC_ET_lkg_SY8_80,0.0028375541714761032
TOPSIN_ET_sh_f_tn_23,0.0028092896713902693
MEASURE_ET_DC_RF_Vbin_gs,0.0028025728969160333
MEASURE_ET_C100CapPARCAP,0.0027944639898619646
GATE2_CD_Gate_Leg_Length,0.002759907164163003
TOPSIN_ET_R_f_hr_1,0.0027312827623822587
MEASURE_ET_DC_Big_Vp_01,0.002729796679159338
MEASURE_ET_DC_RF_CF_S11_Ph_L1002,0.002675903243788727
MEASURE_ET_C100CapUSV,0.002675076702686638
STAGE_RANGE_DC_PIV_Gate_Lag_0,0.0026710075150067234
STAGE_DELTA_Rcat_cn_2_CATHODE_minus_THIN,0.002630961525600453
SIN_GATE_ET_Rc_an_ct2,0.0025972507626627174
MEASURE_ET_DC_RF_Idss_W,0.002587635659109996
FIC_ET_DC_RF_Vbgs_0p1,0.0025591018745125733
STAGE_RANGE_Rcat_cn_2,0.002514106564618612
THIN_ET_DC_RF_Id_gm_max,0.0024906355370519773
STAGE_RANGE_TF_AB_1,0.002489738963916721
MEASURE_ET_i5021_3,0.002474731993438448
FIC_ET_G_per_2p75K,0.0024558687547456435
TOPSIN_ET_Probe_Number,0.0024332078526360574
MEASURE_ET_DC_SEC_X_Vboff_Id,0.0023997942174348945
THIN_ET_C300_0,0.0023462304337997786
MEASURE_ET_C300_0,0.002301636787456965
MEASURE_ET_Rc_F_AB_2,0.002298932105617138
THIN_ET_DC_RF_Vg_optt3,0.0022724587791925184
MEASURE_ET_RF_Modeling_S21_19G_After,0.00225482263031995
TOPSIN_ET_Load_Pull_Id_ord,0.0022162455759450308
MEASURE_ET_RF_Modeling_Mag_i,0.002204832286254754
MEASURE_ET_DC_RF_CF_S12_Ph_L2180,0.0021954352089818886
MEASURE_ET_DC_Big_S12ang_10GHz,0.0021804117932442022
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,0.002148002456035902
MEASURE_ET_LT_SEC_Id_min_mA_mm_Vd8,0.0020855754422374863
MEASURE_ET_C_CAT_2,0.0020653097317266944
MEASURE_ET_DC_SEC_X_Vg_at_I3_pos_FPSD3p2,0.0020478528284106597
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1_FPSD3p2,0.002035625895570309
CHRE_Ali_Litho_Channel_to_Ohmic_Alignment,0.0020170442962607086
THIN_ET_Rc_an_ct2_OW_CR,0.0019886516013785773
MEASURE_ET_R_f_tn_3,0.0019838673046931737
FIC_ET_DC_RF_Vbin_gs,0.001982083087739872
TOPSIN_ET_TANR,0.0019320955617963265
STAGE_RANGE_Rcat_cn_2_OW_ST,0.0019147125269405262
STAGE_RANGE_Gate_res,0.0019118534880489062
TOPSIN_ET_DC_PIV_Ids1_QP3,0.001899037987951352
STAGE_STD_DC_PIV_Drain_Lag_0,0.001887668021379915
MEASURE_ET_DC_SEC_Vgs_1V,0.001880601046158964
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_neg_SD3p5,0.0018723323879975967
THIN_ET_DC_RF_Vg_optt1,0.0018616582304094326
TOPSIN_ET_DC_RF_Gm_max,0.0018245684260121213
FIC_ET_DC_RF_Vg_max_Vd,0.0018105333754602105
FIC_ET_DC_PIV_Drain_Lag_1,0.001803752876076692
MEASURE_ET_DC_RF_Vg_max_Vd,0.0017906246302127975
SIN_ET_Probe_Number,0.0017831327692111516
TOPSIN_ET_C500pf,0.0017648286630119804
MEASURE_ET_DC_Diode_S21_dB_forw_9p5,0.0017642759830517496
MEASURE_ET_LT_SEC_Vd_Id_min_Vd3,0.0016904977406105276
THIN_ET_R_660_HOR,0.0016807195249397139
FIC_ET_DC_RF_Vdg_max,0.001676172915064078
MEASURE_ET_RF_Modeling_Cds,0.0016445446689410058
MEASURE_ET_Load_Pull_Pin_Last,0.001618426816342372
MEASURE_ET_Load_Pull_PhL_set,0.0016131010143117046
TOPSIN_ET_C100CapUSV,0.0015817495335932324
MEASURE_ET_DC_SEC_X_Ron_SD3p5,0.0015733602507630368
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_second_FPSD3p2,0.0015724755778166177
MEASURE_ET_C385pf,0.0015667841750179323
MEASURE_ET_DC_RF_Vp_01_W,0.0015650789881482218
TOPSIN_ET_DC_PIV_Ids1_QP1,0.0015523760918030095
MEASURE_ET_DC_Stress_Ig_max_after,0.0015339305507638152
MEASURE_ET_sh_GA144,0.0015309399310509564
TOPSIN_ET_C300pf_0,0.001526320370744677
MEASURE_ET_DC_RF_S22dB_26GHz_W,0.0015132751569986807
MEASURE_ET_Load_Pull_Gss,0.0015091675580252485
MEASURE_ET_DC_RF_Vg_Vbon_min,0.0015059642783027572
TOPSIN_ET_C100Cap3pf,0.0014958528044102526
TOPSIN_ET_sh_GA144,0.0014928872871556808
MEASURE_ET_DC_PIV_Ids0_QP3,0.0014904271472588938
MEASURE_ET_DC_RF_S11dB_10GHz,0.0014898160047554843
MEASURE_ET_DC_Stress_Vp_after,0.001485991038785936
THIN_ET_Vbpin,0.0014709469707708922
ANODE_ET_Rsh_an_ct2,0.0014595077173129357
MEASURE_ET_lkg_CapFICM1,0.0014490727736939045
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,0.0014459377031710492
MEASURE_ET_DC_RF_Max_S11_Freq_L2180,0.0014358813808407866
STAGE_RANGE_R_f_tn_1,0.00143002893592242
MEASURE_ET_VIA_KLV_2,0.0014292076179537676
MEASURE_ET_DC_RF_Vg_max_Vd_0p1,0.0014089291408635157
MEASURE_ET_R_f_tn_1,0.0014012849488835605
THIN_ET_Rc_f_hr_23,0.0013678110822869377
THIN_ET_Rsh_F_AB_2,0.0013646458193837447
MEASURE_ET_RF_Modeling_Ls,0.0013600046148609269
MEASURE_ET_DC_RF_Vbon_min,0.0013567619547355941
MEASURE_ET_DC_Diode_S21_dB_rev,0.0013544493540074616
THIN_ET_R_f_tn_1,0.001341174662698244
MEASURE_ET_DC_SEC_S_Ids_max_FPSD3p2,0.0013356041329247754
SIN_GATE_ET_Rc_OG142_GN,0.0013339404376002477
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg3,0.0013311046853360404
MEASURE_ET_RF_Modeling_Cgd_err,0.001321909738977095
MEASURE_ET_DC_RD_MSG_35GHz,0.0013207735047689462
MEASURE_ET_DC_RD_S22ang_18GHz,0.0012890322815327232
THIN_Measure1_Glue_thickness,0.001271546476616367
MEASURE_ET_Vbkdn_Cap100_Long,0.001261044349423135
MEASURE_ET_C300FM1,0.00125779219095771
MEASURE_ET_Vbkdn_Cap100,0.0012558392258161717
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_second_SD3p5,0.0012425545780272052
FIC_ET_Gm_max,0.0012255412000742928
MEASURE_ET_DC_Stress_Vg_max_Ig_before,0.001218290905266356
MEASURE_ET_DC_SEC_Vgs_back_0p5V,0.0011954238573726572
TOPSIN_ET_DC_PIV_Gate_Lag_0,0.0011883535192220545
TOPSIN_ET_CapFICM1,0.0011861781469881788
THIN_ET_R_4000_HOR,0.0011857622526377759
TOPSIN_ET_HIRS,0.0011822142573621381
TOPSIN_ET_DC_RF_Vbin_gs,0.001173875573338748
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,0.0011725486863369077
TOPSIN_ET_DC_SMALL_Vbgs_0p1,0.001165312672167193
MEASURE_ET_RF_Modeling_K,0.001133337155658992
TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0011220606401195709
TOPSIN_ET_DC_RF_Vg_max_Vd,0.0011113411531555955
MEASURE_ET_C100C300pf,0.0011016487029497785
MEASURE_ET_DC_SEC_X_Vg_at_I2_pos_FPSD3p2,0.00108479856718528
MEASURE_ET_DC_RF_Vbgs1,0.0010811882545183615
MEASURE_ET_DC_SEC_n_gs,0.0010717366593537363
MEASURE_ET_DC_RF_S11ang_26GHz,0.001070549096533352
MEASURE_ET_TF_AB_2,0.0010641856878356032
MEASURE_ET_lkg_70,0.0010547370551881013
STAGE_RANGE_DC_PIV_Ids1_QP3,0.0010535685048432026
MEASURE_ET_DC_SEC_X_Vg_at_I3_neg,0.0010521537749943548
TOPSIN_ET_Vdg_max,0.001039131137829863
MEASURE_ET_LT_SEC_Vbgd1_Vd3,0.0010368660305594911
FIC_ET_DC_PIV_Ids1_QP3,0.001036319720793269
MEASURE_ET_R_660_VER,0.0010342454285183766
MEASURE_ET_TANR,0.0010233996983155553
TOPSIN_ET_RGAN2,0.001021853593359101
FIN_FIN_Alignment_FIN_to_ohmic_alignment,0.0010205823594871349
MEASURE_ET_DC_SEC_Vp_10mA,0.00101915052963375
STAGE_STD_Rcat_cn_3,0.0010179747211839952
MEASURE_ET_lkg_PAD_10,0.0010092578010698766
MEASURE_ET_DC_RF_CF_S11_Ph_L2180,0.0009963919269341925
MEASURE_ET_DC_PIV_Imax_QP3,0.0009957221648705273
MEASURE_ET_DC_RF_S12ang_26GHz,0.000994415709796101
MEASURE_ET_i5021_1,0.000993730785180094
MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,0.000987887548134289
STAGE_STD_C300_0,0.0009819208939235325
MEASURE_ET_RF_Modeling_S11ang_10GHz,0.000977113590335879
STAGE_RANGE_R_f_hr_3,0.0009731285898484654
THIN_ET_i5021_2,0.0009670482826599852
ANODE_ET_Probe_Number,0.0009523362697816756
MEASURE_ET_C500pf,0.0009495686784855905
MEASURE_ET_Load_Pull_Id_ini,0.0009454426794047622
THIN_ET_DC_RF_Vds_max_0p1mA,0.0009378190731761382
STAGE_DELTA_Rc_an_ct2_OW_CR_ANODE_minus_THIN,0.000929970352160639
MEASURE_ET_LT_SEC_Ig_Id_min_mA_mm_Vd7,0.0009197381747469869
MEASURE_ET_DC_SEC_S_Ids_max,0.0009074504097595637
TOPSIN_ET_DC_PIV_Ids0_QP3,0.0009070224032466017
STAGE_STD_DC_RF_Vg_max_Vd_0p1mA,0.0009027073851697904
SIN_ET_DC_RF_Vg_max_Vd_0p1,0.0009023082074034683
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_neg_SD3p5,0.0008966207678308025
TOPSIN_ET_Load_Pull_Id_ini,0.0008773449177309989
MEASURE_ET_DC_Big_Vg_max_Vd_0p1mA,0.0008755403994174377
MEASURE_ET_DC_RF_S11ang_10GHz,0.0008748781339974282
MEASURE_ET_DC_RF_Vt_gs,0.0008731064694728619
MEASURE_ET_Gm_max,0.0008687175754850784
STAGE_RANGE_R314,0.0008590995760210691
FIC_ET_R_f_tn_2,0.0008579634450430973
STAGE_STD_DC_PIV_Gate_Lag_0,0.0008289211215022796
TOPSIN_ET_Vds_max,0.0008133279989049419
SIN_GATE_ET_sh_GA144,0.0008057987165499686
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos_FPSD3p2,0.0008052922415949237
TOPSIN_ET_Cap1pf,0.0007990530475975255
THIN_ET_Vbpin_D60,0.0007956936435352724
TOPSIN_ET_DC_SMALL_Vbgs1,0.0007933635095262653
TOPSIN_ET_Cap2pf_0,0.0007925412399458736
MEASURE_ET_LT_SEC_Vd_Id_min_Vd7,0.0007917472294302702
MEASURE_ET_Ran_con_1,0.0007805089119100134
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,0.0007760929075030732
MEASURE_ET_DC_RF_MAG_26GHz,0.0007690004683974544
STAGE_RANGE_DC_RF_n_gs,0.0007619545479132627
MEASURE_ET_Load_Pull_ID_comp_Last_mA,0.0007612056338863804
STAGE_STD_R314,0.0007562722374950453
MEASURE_ET_RF_Modeling_Lg,0.0007473928125791285
STAGE_RANGE_DC_RF_Vp_01,0.0007455372829192619
MEASURE_ET_DC_SMALL_n_gs,0.0007378252530523099
TOPSIN_ET_Cap_C300,0.0007227383640998175
MEASURE_ET_DC_Big_Vg_optt1,0.000721702537199348
THIN_ET_C_CAT_2,0.0007129514970428547
MEASURE_ET_Cap_C300FB,0.0007010723650030248
MEASURE_ET_DC_SMALL_Vp_01,0.0006977167548854774
MEASURE_ET_DC_RF_Max_S11_Mag_L1018,0.0006968546505023626
MEASURE_ET_Cap1pf,0.0006907024739009143
MEASURE_ET_DC_Big_S11dB_10GHz,0.0006826663868599037
GATE2_Thickness4_PMMA_PR_etch_thickness,0.0006551615449935155
STAGE_DELTA_DC_PIV_Ids1_QP3_FIC_minus_TOPSIN,0.0006551285544359575
MEASURE_ET_RF_Modeling_Mag_d,0.0006526086905068562
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_SD3p5,0.0006440087673174527
MEASURE_ET_DC_Stress_Vg_gm_max_before,0.000634772175129103
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_neg_SD3p5,0.0006247100547574324
MEASURE_ET_DC_Diode_Vbpin,0.0006145359495475788
STAGE_RANGE_sh_f_tn_23,0.0006145021289395037
SIN_GATE_ET_RGAN1,0.0006091226921758147
MEASURE_ET_DC_SEC_X_Vboff_Id_FPSD3p2,0.0005997410071842402
MEASURE_ET_R_4000_VER,0.000599315167854067
FIC_ET_DC_RF_Vg_optt,0.0005941382676234924
MEASURE_ET_DC_Big_Vg_max_Vd,0.000587293803388475
MEASURE_ET_lkg_Cap2,0.000578484717898689
MEASURE_ET_DC_SEC_S_Ron_FPSD3p2,0.0005704428470939826
THIN_ET_R_f_hr_1,0.000569076734449625
MEASURE_ET_DC_SMALL_Vbin_gs,0.0005630247870618249
MEASURE_ET_DC_RD_S22dB_18GHz,0.0005611094604231398
MEASURE_ET_DC_Diode_S11_dB_rev_9p5,0.0005605382890579242
STAGE_RANGE_Vds_max,0.0005568782663795153
TOPSIN_ET_DC_SMALL_Vdg_max,0.0005420573052736105
STAGE_STD_lkg_5,0.0005405764292083975
MEASURE_ET_DC_SEC_S_Ids_max_norm,0.000538791358217966
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first,0.0005366899511917045
MEASURE_ET_RF_Modeling_Mag_m,0.0005339970790137122
MEASURE_ET_DC_SMALL_Vg_gm_max,0.0005328096398771187
MEASURE_ET_DC_RF_S12dB_26GHz_W,0.0005313823768159032
MEASURE_ET_C100CapFICM1,0.0005311969628750857
SIN_GATE_ET_Probe_Number,0.0005249696033157586
THIN_ET_TF_AB_2,0.0005237680220068569
SIN_ET_DC_RF_Vdg_max_0p1,0.0005154385923067439
MEASURE_ET_DC_RF_CF_S21_Mag_L2180,0.0005132231713148
MEASURE_ET_DC_SEC_S_Vg_at_I3_pos_FPSD3p2,0.0005105758394033571
MEASURE_ET_DC_RF2_S22ang_26GHz,0.0005088142652286215
CATHODE_ET_Rcat_cn_1,0.0005065287513271149
THIN_ET_KLV_F_AB_4u,0.0004884492617102526
MEASURE_ET_DC_RD_Ft,0.0004883165260688993
TOPSIN_ET_Load_Pull_PhL_set,0.00048425177033782906
MEASURE_ET_DC_RF2_Ft,0.0004779479543244036
STAGE_STD_Rcat_cn_2_OW_ST,0.0004712022843188834
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,0.0004688237199399148
MEASURE_ET_DC_RF_S22ang_26GHz,0.00046829807101697596
STAGE_RANGE_DC_RF_Vbgd_0p01,0.0004664544529077386
MEASURE_ET_lkg_SY07_10,0.00046211841983893334
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1_SD3p5,0.00046070385311235417
OHMIC_ET_R114,0.00045932205579236884
MEASURE_ET_DC_Diode_Rs,0.00045750017644683447
MEASURE_ET_RF_Modeling_S22dB_10GHz,0.00045587148990029194
CATHODE_ET_C_CAT_2,0.00045397215909336595
THIN_ET_R_400_VER,0.00045010999019576005
SIN_ThicknessGN2_RefractiveIndex,0.0004416519293590299
MEASURE_ET_Probe_Number,0.00043007627552830996
MEASURE_ET_Cap_C300,0.00042810689393919246
MEASURE_ET_DC_RF_Vbgd_0p01,0.00042674696707880043
MEASURE_ET_Rc_f_hr_23,0.0004254257348026896
TOPSIN_ET_C100CapFICM1,0.0004234079689381526
FIC_ET_DC_PIV_Ids0_QP2,0.0004169898323284543
TOPSIN_ET_DC_SMALL_n_gs,0.00041455522503412723
MEASURE_ET_DC_RD_S12dB_18GHz,0.0004090478634654615
MEASURE_ET_RF_Modeling_R_Gs,0.00040747126394712616
THIN_ET_Probe_Number,0.0004039050607701211
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_pos_SD3p5,0.00040269187085781034
FIC_ET_G_per_6K,0.0004011823114579482
MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_FPSD3p2,0.0004011133628258418
OHMIC_ET_OHMC,0.0003993900064921896
TOPSIN_ET_Ids_m2,0.00039715413638316543
MEASURE_ET_DC_SMALL_Vbgd1,0.0003909410894851473
TOPSIN_ET_R114,0.00038854940643317793
MEASURE_ET_Cap1pf_0,0.00038838636416293484
MEASURE_ET_LT_SEC_Id_min_mA_mm,0.00038834672200875885
MEASURE_ET_DC_RF_Vbgd1,0.00038768521593770535
MEASURE_ET_DC_RF_Max_S11_Ph_L1002,0.00038666687455102267
STAGE_RANGE_Rcat_cn_3,0.00038323229286300333
MEASURE_ET_DC_SEC_X_Ig_cut2_mAmm_pos_SD3p5,0.00038208292075442296
MEASURE_ET_DC_RF_S12ang_10GHz,0.0003755391958498472
MEASURE_ET_sh_f_hr_23,0.00037204817272582235
MEASURE_ET_C100USV_Cappf,0.0003706130085993825
MEASURE_ET_RF_Modeling_Fmax,0.00037052420255853646
MEASURE_ET_C300FB_0,0.00036253513151731644
THIN_ET_Ran_con_2,0.00036218920355441384
THIN_ET_lkg_C20,0.0003620180186276911
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_FPSD3p2,0.0003534166829859076
TOPSIN_ET_DC_RF_n_gs,0.0003517991884655458
MEASURE_ET_OHMC_GN,0.00034747007838526747
MEASURE_ET_RF_Modeling_S11dB_10GHz,0.00034689458060643277
TOPSIN_ET_lkg_C385pf,0.00034677553367124246
THIN_ET_DC_RF_Vbgs1,0.00034561027361644514
SIN_ET_DC_RF_n_gd,0.0003382474739737906
STAGE_STD_sh_GA142,0.0003369937007402429
THIN_ET_sh_f_hr_23,0.00033505001293747394
MEASURE_ET_LT_SEC_Vg_Id_min,0.00033177859303248626
STAGE_STD_DC_RF_Vp_01,0.0003283858861033301
MEASURE_ET_LT_SEC_Vbgd1_Vd8,0.0003278084224463934
